Date,Open,High,Low,Close,Volume,Change
2024-12-23,17020,17280,16900,17160,177,0.023866348448687402
2024-12-24,17160,17500,17000,17500,481,0.019813519813519864
2024-12-26,17280,17600,16820,17600,276,0.005714285714285783
2024-12-27,17240,19600,17240,19600,1135,0.11363636363636354
2024-12-30,17720,17780,17300,17780,3418,-0.09285714285714286
2025-01-02,17420,17420,17340,17360,1580,-0.023622047244094446
2025-01-03,17080,17320,17080,17320,94,-0.0023041474654378336
2025-01-06,17660,17660,17180,17420,24,0.005773672055427337
2025-01-07,17420,17420,17400,17400,24,-0.0011481056257175437
2025-01-08,17400,17760,17400,17640,10,0.01379310344827589
2025-01-09,17400,17560,17400,17540,95,-0.005668934240362855
2025-01-10,17580,17800,17540,17540,2,0.0
2025-01-13,17820,17820,17160,17160,561,-0.02166476624857472
2025-01-14,17160,19800,17160,19800,545,0.15384615384615374
2025-01-15,17340,17420,17020,17020,1459,-0.14040404040404042
2025-01-16,17020,17180,16620,16880,271,-0.008225616921269108
2025-01-17,16900,17120,16880,16960,262,0.004739336492890933
2025-01-20,16960,17080,16940,16940,32,-0.001179245283018826
2025-01-21,16940,17080,16860,17060,323,0.007083825265643551
2025-01-22,17120,17120,16420,16500,272,-0.03282532239155922
2025-01-23,16840,16880,16680,16700,155,0.0121212121212122
2025-01-24,16800,16880,16800,16800,121,0.0059880239520957446
2025-01-31,16800,16900,16660,16880,2522,0.004761904761904745
2025-02-03,16640,16880,16640,16860,65,-0.0011848341232227888
2025-02-04,16980,17000,16740,17000,1184,0.008303677342823335
2025-02-05,17000,17060,17000,17060,3989,0.003529411764705781
2025-02-06,17040,17040,16960,16960,2788,-0.0058616647127783805
2025-02-07,16960,17120,16960,17120,8,0.009433962264151052
2025-02-10,16860,17000,16860,16960,40,-0.009345794392523366
2025-02-11,16960,17080,16840,17080,45,0.007075471698113178
2025-02-12,17000,17060,16860,17060,459,-0.0011709601873536313
2025-02-13,17120,17120,16960,17000,22,-0.003516998827667095
2025-02-14,17260,17260,17220,17220,29,0.012941176470588234
2025-02-17,16840,17100,16800,16820,607,-0.023228803716608626
2025-02-18,16960,16960,16420,16560,556,-0.015457788347205681
2025-02-19,16400,16780,16400,16780,331,0.013285024154589431
2025-02-20,16780,16780,16600,16760,121,-0.0011918951132300348
2025-02-21,16740,16980,16600,16980,9,0.013126491646778149
2025-02-24,16880,16920,16700,16920,66,-0.0035335689045936647
2025-02-25,17000,17000,16720,16940,111,0.0011820330969267712
