Date,Open,High,Low,Close,Volume,Change
2024-12-23,48250,49300,48250,49200,12958,0.0239334027055151
2024-12-24,49000,49350,49000,49150,8113,-0.0010162601626015
2024-12-26,49250,49700,49100,49400,12089,0.0050864699898269
2024-12-27,48550,48700,47650,48050,17930,-0.027327935222672
2024-12-30,47700,48050,47000,47600,20044,-0.0093652445369406
2025-01-02,47200,48200,47200,47800,7359,0.0042016806722688
2025-01-03,47350,48150,47350,47800,9892,0.0
2025-01-06,47950,47950,47500,47700,8477,-0.0020920502092049
2025-01-07,47700,47950,47150,47250,11905,-0.0094339622641509
2025-01-08,47000,47600,46850,47100,10094,-0.0031746031746031
2025-01-09,46900,47000,46700,46750,7886,-0.0074309978768577
2025-01-10,46600,46900,46200,46300,10408,-0.0096256684491978
2025-01-13,45900,46300,44900,45400,17004,-0.019438444924406
2025-01-14,45000,45650,45000,45650,7630,0.0055066079295154
2025-01-15,45550,46100,45300,45650,6300,0.0
2025-01-16,45650,46400,45650,46400,8468,0.0164293537787514
2025-01-17,45900,46450,45900,46350,5956,-0.0010775862068965
2025-01-20,46500,46500,46050,46200,3687,-0.0032362459546925
2025-01-21,46200,46700,45800,46700,8346,0.0108225108225108
2025-01-22,46800,46800,46000,46100,10183,-0.012847965738758
2025-01-23,46150,46150,44700,44900,16998,-0.0260303687635574
2025-01-24,44800,45450,44800,45450,4877,0.0122494432071269
2025-01-31,45450,45450,44900,45050,5854,-0.0088008800880088
2025-02-03,44950,44950,43700,44050,7770,-0.0221975582685904
2025-02-04,43850,44750,43600,44500,5986,0.0102156640181612
2025-02-05,44250,45150,44250,44850,6450,0.0078651685393258
2025-02-06,44850,46050,44700,45800,7331,0.0211817168338908
2025-02-07,45750,45750,45050,45400,8104,-0.0087336244541484
2025-02-10,45300,45300,44650,44800,8295,-0.0132158590308369
2025-02-11,44800,45250,44550,44800,11887,0.0
2025-02-12,44900,45300,44450,44550,10056,-0.005580357142857
2025-02-13,44600,45050,44550,44650,15936,0.0022446689113355
2025-02-14,44650,45700,44650,45100,8835,0.0100783874580068
2025-02-17,45250,45500,45200,45200,7720,0.0022172949002217
2025-02-18,45050,45350,44950,45300,6967,0.002212389380531
2025-02-19,45150,45900,45150,45500,15636,0.0044150110375276
2025-02-20,45500,46150,45300,45950,9435,0.0098901098901098
2025-02-21,46250,46250,45350,45750,10494,-0.0043525571273123
2025-02-24,45450,45500,44750,44950,16909,-0.0174863387978142
2025-02-25,44800,45400,44750,45150,6759,0.0044493882091212
2025-02-26,45250,45450,44950,45300,6658,0.0033222591362125
2025-02-27,45450,45900,45050,45500,10289,0.0044150110375276
2025-02-28,45350,45350,44350,44650,14014,-0.0186813186813187
2025-03-04,44500,45050,44000,44400,8287,-0.005599104143337
2025-03-05,44300,45000,44300,45000,6623,0.0135135135135135
2025-03-06,45000,45450,45000,45450,7080,0.01
2025-03-07,45450,45850,45200,45550,6776,0.0022002200220021
2025-03-10,45650,45700,45350,45450,4278,-0.0021953896816685
2025-03-11,44900,45400,44750,45200,11977,-0.0055005500550054
2025-03-12,45050,45350,44900,45150,4878,-0.0011061946902655
2025-03-13,45250,45500,44700,44700,9969,-0.0099667774086378
2025-03-14,44700,45050,44500,44700,9991,0.0
2025-03-17,44700,45550,44700,45300,17673,0.0134228187919462
2025-03-18,45300,45900,45300,45600,13869,0.0066225165562914
