Date,Open,High,Low,Close,Volume,Change
2024-12-23,47350,47400,45650,46900,742557,-0.0063559322033898
2024-12-24,46650,46750,45600,46350,617917,-0.011727078891258
2024-12-26,47250,47900,45050,45350,1058764,-0.0215749730312837
2024-12-27,44750,44850,42600,43600,713946,-0.0385887541345093
2024-12-30,43400,43450,41850,41900,708379,-0.0389908256880734
2025-01-02,41900,43200,41650,42650,652126,0.0178997613365154
2025-01-03,42650,43850,42350,43400,551513,0.0175849941383352
2025-01-06,43750,43800,43200,43400,557384,0.0
2025-01-07,43300,43800,41300,41600,853103,-0.0414746543778802
2025-01-08,41600,42350,41500,42000,614640,0.0096153846153845
2025-01-09,41800,42350,41100,41200,520139,-0.019047619047619
2025-01-10,41100,42350,40950,42100,410996,0.0218446601941748
2025-01-13,42500,43750,42100,42300,664038,0.004750593824228
2025-01-14,42450,43500,42300,43250,452546,0.0224586288416075
2025-01-15,43250,45150,43250,44700,680151,0.0335260115606936
2025-01-16,45000,45450,44500,45100,342097,0.0089485458612974
2025-01-17,45000,45200,44000,44900,276601,-0.0044345898004434
2025-01-20,44900,45000,43800,43950,198380,-0.0211581291759465
2025-01-21,44350,46450,44300,45500,655360,0.0352673492605233
2025-01-22,45850,49900,45700,49500,1425936,0.0879120879120878
2025-01-23,49150,49750,48500,49400,619230,-0.002020202020202
2025-01-24,49550,53400,48900,52500,778621,0.062753036437247
2025-01-31,51300,52300,47550,48050,1060207,-0.0847619047619048
2025-02-03,47900,48500,46550,47700,599328,-0.0072840790842871
2025-02-04,47800,48550,47650,47850,553634,0.0031446540880504
2025-02-05,47900,48200,46700,47100,405285,-0.0156739811912225
2025-02-06,47900,49400,47800,48750,500352,0.035031847133758
2025-02-07,48400,49400,47900,48050,301517,-0.0143589743589743
2025-02-10,47850,48650,46800,47150,417732,-0.0187304890738814
2025-02-11,46700,47600,46550,46600,598926,-0.0116648992576882
2025-02-12,46950,47500,46250,46500,467134,-0.0021459227467811
2025-02-13,47650,49500,47500,47900,1168193,0.0301075268817203
2025-02-14,48350,50500,47950,50000,790689,0.0438413361169103
2025-02-17,49050,51100,48550,49500,458423,-0.01
2025-02-18,49550,50600,49100,49950,367796,0.009090909090909
2025-02-19,50700,51000,48400,49100,516379,-0.0170170170170169
2025-02-20,48800,50500,48300,50400,355453,0.0264765784114053
2025-02-21,49900,50100,49250,49600,234639,-0.0158730158730159
2025-02-24,50000,51000,48400,48750,330800,-0.0171370967741935
2025-02-25,48100,48900,47800,48750,186738,0.0
2025-02-26,48750,49450,48550,49000,235254,0.0051282051282051
2025-02-27,49100,49100,47200,47850,325970,-0.0234693877551019
2025-02-28,47250,47800,46300,47000,473571,-0.0177638453500522
2025-03-04,46050,46550,44850,45300,297079,-0.0361702127659574
2025-03-05,46200,47550,46100,47550,317774,0.0496688741721853
2025-03-06,48350,49400,47850,48250,429197,0.0147213459516297
2025-03-07,47650,49400,47000,49150,291348,0.0186528497409326
2025-03-10,49400,51000,49250,50000,368443,0.017293997965412
2025-03-11,48300,50600,48000,50300,251225,0.006
2025-03-12,51000,52700,50400,51300,470490,0.0198807157057654
2025-03-13,51400,51800,49900,50400,380724,-0.0175438596491228
2025-03-14,50400,50700,49250,49550,219187,-0.0168650793650794
2025-03-17,49900,50800,49850,50500,157457,0.0191725529767912
2025-03-18,50500,50900,49650,50100,156352,-0.0079207920792079
2025-03-19,50100,51750,50000,50900,233803,0.0159680638722554
2025-03-20,50900,51700,49950,50000,145580,-0.0176817288801571
2025-03-21,49500,51800,49500,51700,359454,0.034
2025-03-24,51000,51700,50200,50700,135925,-0.0193423597678916
2025-03-25,50600,50800,49750,50400,105853,-0.0059171597633136
2025-03-26,50800,50800,49150,49300,243397,-0.0218253968253968
2025-03-27,48900,50300,48450,50000,244912,0.0141987829614604
2025-03-28,50000,51100,49600,51100,271672,0.022
2025-03-31,50500,50900,47550,50000,350990,-0.0215264187866928
2025-04-01,49650,49650,47900,48000,258478,-0.04
2025-04-02,48100,48400,47200,47800,156801,-0.0041666666666666
2025-04-03,46150,48200,46150,48200,210778,0.0083682008368199
2025-04-04,47650,47950,45500,46650,261941,-0.0321576763485477
2025-04-07,44900,45100,41450,43000,381381,-0.0782422293676312
2025-04-08,43500,43900,42750,43500,230987,0.0116279069767442
2025-04-09,42400,42900,40800,41000,383183,-0.0574712643678161
2025-04-10,43100,44000,42700,44000,301590,0.0731707317073171
2025-04-11,42800,43850,42800,43750,136961,-0.0056818181818182
2025-04-14,44150,44250,43100,43250,202292,-0.0114285714285714
2025-04-15,43350,44550,43350,44100,219425,0.0196531791907514
