Date,Open,High,Low,Close,Volume,Change
2024-12-23,40600,41850,40600,41700,253491,0.0334572490706319
2024-12-24,41700,41700,41200,41500,82855,-0.0047961630695443
2024-12-26,41750,41750,40900,41000,124035,-0.0120481927710843
2024-12-27,40550,40850,39650,39850,227328,-0.0280487804878049
2024-12-30,39850,40000,39300,39300,150414,-0.0138017565872019
2025-01-02,39400,39550,38600,38800,146449,-0.0127226463104325
2025-01-03,39000,39600,38900,39150,144638,0.0090206185567009
2025-01-06,39250,39550,38900,39350,104137,0.0051085568326947
2025-01-07,39400,39750,39150,39350,127710,0.0
2025-01-08,39100,39550,39100,39250,115401,-0.002541296060991
2025-01-09,39200,39600,39100,39600,184355,0.0089171974522292
2025-01-10,39400,39800,39250,39400,148859,-0.005050505050505
2025-01-13,39400,39550,39050,39350,105201,-0.0012690355329949
2025-01-14,39500,39850,39350,39400,93793,0.0012706480304955
2025-01-15,39600,40400,39100,39150,179183,-0.0063451776649746
2025-01-16,39550,39550,39200,39300,109998,0.0038314176245211
2025-01-17,39100,39400,38450,38500,300094,-0.020356234096692
2025-01-20,38600,39000,38500,38600,159332,0.0025974025974024
2025-01-21,38850,38850,38150,38150,228571,-0.0116580310880829
2025-01-22,38400,38700,38100,38550,269700,0.0104849279161205
2025-01-23,38500,38500,37600,37750,295966,-0.0207522697795071
2025-01-24,37950,38600,37800,38350,195801,0.0158940397350992
2025-01-31,38700,38750,38100,38500,154900,0.0039113428943937
2025-02-03,38300,38300,37700,38050,130599,-0.0116883116883116
2025-02-04,38250,38400,37750,38000,153544,-0.0013140604467805
2025-02-05,38000,38600,38000,38450,105530,0.0118421052631578
2025-02-06,38450,38650,38350,38650,96964,0.0052015604681403
2025-02-07,38450,38800,38350,38400,92762,-0.0064683053040103
2025-02-10,38250,38450,38100,38150,176999,-0.0065104166666666
2025-02-11,38250,39950,38200,39700,293192,0.0406290956749673
2025-02-12,39550,40000,39100,39250,215785,-0.0113350125944584
2025-02-13,39300,39900,38900,39900,322284,0.0165605095541401
2025-02-14,39800,40100,39600,39900,218046,0.0
2025-02-17,40200,40800,39900,40550,211827,0.0162907268170426
2025-02-18,40700,41200,40650,41200,198010,0.0160295930949445
2025-02-19,40950,41550,40450,40450,357586,-0.0182038834951456
2025-02-20,40550,41200,40550,41050,172326,0.014833127317676
2025-02-21,41100,41350,40850,41100,182300,0.0012180267965895
2025-02-24,41100,41250,40900,41100,254308,0.0
2025-02-25,41100,41350,40450,40450,539750,-0.0158150851581508
2025-02-26,40550,40850,40400,40450,659510,0.0
2025-02-27,38200,38800,38050,38500,882748,-0.0482076637824474
2025-02-28,38000,38150,36050,36050,4692396,-0.0636363636363636
2025-03-04,36450,37100,35650,35700,699323,-0.0097087378640776
2025-03-05,36000,36350,35650,35750,465108,0.0014005602240896
2025-03-06,36000,36400,35800,36200,359518,0.0125874125874125
2025-03-07,36100,37100,36050,36600,370071,0.011049723756906
2025-03-10,36350,37350,36350,37250,304493,0.0177595628415301
2025-03-11,36300,36750,36100,36500,365731,-0.0201342281879194
2025-03-12,36450,36950,36450,36800,215931,0.0082191780821918
2025-03-13,36850,37400,36650,36750,450613,-0.0013586956521739
2025-03-14,36750,37200,36600,36900,201730,0.0040816326530612
2025-03-17,37100,37250,36850,37150,183515,0.0067750677506774
2025-03-18,37200,37250,37000,37150,159374,0.0
2025-03-19,37150,37300,36950,37150,184281,0.0
2025-03-20,37150,37350,37100,37150,181761,0.0
2025-03-21,37150,37500,37050,37450,595950,0.0080753701211304
2025-03-24,37350,37550,36900,37000,167043,-0.0120160213618157
2025-03-25,37000,37250,36800,36900,150378,-0.0027027027027026
2025-03-26,37000,37200,36800,37050,146969,0.0040650406504065
2025-03-27,36850,37600,36850,37450,246494,0.0107962213225372
2025-03-28,37550,37550,36950,37300,138066,-0.0040053404539386
2025-03-31,37050,37050,36650,36800,261518,-0.0134048257372654
2025-04-01,36900,37450,36750,37300,136487,0.013586956521739
2025-04-02,37150,37250,36400,36500,196335,-0.0214477211796246
2025-04-03,36000,36300,35550,36200,220562,-0.0082191780821917
2025-04-04,35800,36800,35700,36800,143947,0.0165745856353591
2025-04-07,35600,36100,35350,35650,411296,-0.03125
2025-04-08,36250,36300,35400,35400,241873,-0.0070126227208976
2025-04-09,35300,35450,34700,34900,256885,-0.0141242937853107
2025-04-10,35950,36000,35450,35900,360014,0.0286532951289397
2025-04-11,35500,35900,35300,35800,180218,-0.0027855153203342
2025-04-14,35800,36200,35750,36100,126166,0.0083798882681564
2025-04-15,36050,36400,36050,36250,200563,0.0041551246537396
2025-04-16,36250,36650,36200,36400,107299,0.0041379310344826
