Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
025860,KR7025860008,남해화학,KOSPI,,6360,2,-60,-0.93,6420,6530,6350,275612,1773517950,315957441480,49678843,STK
009290,KR7009290008,광동제약,KOSPI,,6340,3,0,0.0,6340,6350,6200,85593,537969785,315730782720,49799808,STK
001230,KR7001230002,동국홀딩스,KOSPI,,2030,1,5,0.25,2030,2050,1999,122222,247096861,315680661450,155507715,STK
244920,KR7244920005,에이플러스에셋,KOSPI,,13960,1,760,5.76,13580,14490,13450,121167,1688769145,315603394280,22607693,STK
200880,KR7200880003,서연이화,KOSPI,,11630,1,140,1.22,11610,11740,11470,14764,171252570,314340722310,27028437,STK
002900,KR7002900009,TYM,KOSPI,,7520,1,340,4.74,7190,7550,7090,388749,2868142965,311328000000,41400000,STK
381970,KR7381970003,케이카,KOSPI,,6370,1,90,1.43,6310,6400,6250,116170,733705235,310988801760,48820848,STK
005950,KR7005950001,이수화학,KOSPI,,11780,1,620,5.56,11210,11820,11160,427285,4937516750,309745310820,26294169,STK
016800,KR7016800005,퍼시스,KOSPI,,26900,1,50,0.19,27000,27350,26850,493,13324350,309350000000,11500000,STK
096760,KR7096760004,JW홀딩스,KOSPI,,4180,3,0,0.0,4200,4200,4125,38111,158976884,309006257560,73924942,STK
018250,KR7018250001,애경산업,KOSPI,,11690,1,80,0.69,11550,11760,11520,28422,331075080,308732140150,26409935,STK
012030,KR7012030003,DB,KOSPI,,1507,1,55,3.79,1480,1514,1469,537858,800370976,303169117031,201173933,STK
126720,KR7126720002,수산인더스트리,KOSPI,,21200,1,50,0.24,21200,21350,21000,10432,220455650,302863200000,14286000,STK
001390,KR7001390004,KG케미칼,KOSPI,,4520,1,65,1.46,4455,4555,4455,115578,521859854,300144434720,66403636,STK
034830,KR7034830000,한국토지신탁,KOSPI,,1184,1,29,2.51,1156,1185,1156,230611,270507801,298947248320,252489230,STK
084010,KR7084010008,대한제강,KOSPI,,8670,1,20,0.23,8590,8670,8460,19892,169969440,298001737320,34371596,STK
033270,KR7033270000,유나이티드제약,KOSPI,,18500,1,30,0.16,18510,18650,18320,10060,185450830,294349337500,15910775,STK
001750,KR7001750009,한양증권,KOSPI,,19430,2,-60,-0.31,19490,19780,19340,11832,230201080,293577312980,15109486,STK
002710,KR7002710002,TCC스틸,KOSPI,,11180,2,-520,-4.44,11200,11350,10900,245078,2731459455,293069132460,26213697,STK
078520,KR7078520004,에이블씨엔씨,KOSPI,,11260,3,0,0.0,11250,11450,11060,44885,505194835,292919452860,26014161,STK
003350,KR7003350006,한국화장품제조,KOSPI,,12750,2,-10,-0.08,12850,12920,12260,588133,7407013385,288915000000,22660000,STK
091810,KR7091810002,트리니티항공,KOSPI,,2800,1,25,0.9,2820,2840,2775,56325,157412389,285897054800,102106091,STK
004430,KR7004430005,송원산업,KOSPI,,11910,2,-30,-0.25,11960,12490,11790,321418,3881875420,285840000000,24000000,STK
286940,KR7286940002,롯데이노베이트,KOSPI,,18710,1,700,3.89,18720,18850,18280,20948,389037790,283070456570,15129367,STK
084690,KR7084690007,대상홀딩스,KOSPI,,7800,2,-10,-0.13,7810,7860,7770,16510,129058230,282457796400,36212538,STK
003960,KR7003960002,사조대림,KOSPI,,30800,1,500,1.65,30600,30800,30300,996,30330700,282265583600,9164467,STK
058430,KR7058430000,포스코스틸리온,KOSPI,,4660,1,25,0.54,4650,4700,4615,171371,798460846,279600000000,60000000,STK
010820,KR7010820009,퍼스텍,KOSPI,,5670,1,150,2.72,5530,5720,5530,196562,1108269290,276536888460,48771938,STK
017390,KR7017390006,서울가스,KOSPI,,55500,2,-300,-0.54,55900,56000,55000,5947,329198250,274725000000,4950000,STK
003120,KR7003120003,일성아이에스,KOSPI,,20550,2,-100,-0.48,20850,20850,20550,576,11867850,273315000000,13300000,STK
000430,KR7000430009,대원강업,KOSPI,,4390,1,55,1.27,4375,4430,4320,58592,256648415,272180000000,62000000,STK
122900,KR7122900004,아이마켓코리아,KOSPI,,8110,2,-60,-0.73,8170,8200,8090,33417,271445065,271107892400,33428840,STK
