Date,Open,High,Low,Close,Volume,Change
2024-12-26,26200,26250,25700,25750,238775,-0.009615384615384581
2024-12-27,25600,25850,25200,25500,315440,-0.009708737864077666
2024-12-30,25400,25900,25400,25400,306313,-0.0039215686274509665
2025-01-02,25500,25750,25350,25450,205910,0.0019685039370078705
2025-01-03,25300,25950,25250,25850,300216,0.015717092337917515
2025-01-06,25900,26000,25600,25900,309505,0.0019342359767891004
2025-01-07,25950,26400,25850,26200,501765,0.01158301158301156
2025-01-08,26050,26250,25850,25900,375211,-0.011450381679389277
2025-01-09,25800,25900,25200,25300,777825,-0.02316602316602312
2025-01-10,25350,26700,25350,26650,951497,0.05335968379446632
2025-01-13,26550,26550,25900,26250,402173,-0.015009380863039379
2025-01-14,26250,26250,25750,26050,511401,-0.007619047619047636
2025-01-15,26250,26450,25750,25900,406823,-0.0057581573896353655
2025-01-16,26200,26850,26050,26850,759420,0.03667953667953672
2025-01-17,26850,26850,26200,26600,508588,-0.009310986964618295
2025-01-20,26400,26500,26100,26350,378379,-0.009398496240601517
2025-01-21,26350,26500,25850,26100,555259,-0.009487666034155628
2025-01-22,26200,28450,25850,28450,3258966,0.0900383141762453
2025-01-23,29000,30600,28950,29700,3642136,0.04393673110720564
2025-01-24,30000,31500,29700,31500,2539185,0.06060606060606055
2025-01-31,30600,31350,30150,31050,2004842,-0.014285714285714235
2025-02-03,30650,31050,29800,30800,1335046,-0.008051529790660261
2025-02-04,31100,31600,30650,30900,929053,0.0032467532467532756
2025-02-05,30850,31050,30200,30450,692117,-0.014563106796116498
2025-02-06,30750,31800,30500,31600,1216620,0.03776683087027921
2025-02-07,31600,32800,31300,32400,1592325,0.025316455696202445
2025-02-10,32150,32750,31700,32000,959930,-0.012345679012345734
2025-02-11,32200,33000,32100,32700,752967,0.02187500000000009
2025-02-12,32050,32650,31600,32300,648044,-0.012232415902140636
2025-02-13,33000,34200,33000,33750,1966180,0.04489164086687314
2025-02-14,34400,35000,33800,34600,1532263,0.0251851851851852
2025-02-17,34900,35100,33950,34200,936671,-0.011560693641618491
2025-02-18,34450,37550,34200,37000,2889194,0.08187134502923987
2025-02-19,37400,37400,35950,36200,1333552,-0.021621621621621623
2025-02-20,36150,36150,34750,35650,1166312,-0.015193370165745845
2025-02-21,35700,35900,35000,35300,582188,-0.009817671809256634
2025-02-24,35300,35700,34400,35300,713061,0.0
2025-02-25,35200,36300,33050,34450,3262793,-0.024079320113314484
2025-02-26,34600,35850,34550,35500,1133838,0.030478955007256836
2025-02-27,35450,35900,34950,35250,564298,-0.007042253521126751
2025-02-28,34850,34900,33500,33500,1098638,-0.049645390070921946
2025-03-04,33150,33700,32700,33250,732153,-0.007462686567164201
2025-03-05,33700,35400,33600,35250,1075181,0.06015037593984962
2025-03-06,35400,35700,35100,35250,762523,0.0
2025-03-07,35200,36500,34800,35650,1163254,0.01134751773049647
2025-03-10,35650,36050,34900,35900,690379,0.007012622720897532
2025-03-11,35000,35700,33875,34000,1158249,-0.05292479108635095
2025-03-12,34350,35000,33450,33700,1013232,-0.008823529411764675
2025-03-13,33800,33900,32250,32300,1688948,-0.041543026706231445
2025-03-14,32500,33000,32350,32600,593839,0.009287925696594534
2025-03-17,32700,33000,31650,32950,578450,0.010736196319018454
2025-03-18,32950,33600,32900,33550,519464,0.018209408194233667
2025-03-19,33750,34200,33700,33800,537446,0.007451564828613977
2025-03-20,34100,34200,33400,33950,312659,0.004437869822485174
2025-03-21,33550,34450,33300,34200,669445,0.007363770250368162
2025-03-24,33700,33850,33200,33350,320296,-0.024853801169590684
2025-03-25,33800,35500,33750,34850,1156303,0.044977511244377766
2025-03-26,34950,35000,34000,34450,381563,-0.011477761836441891
2025-03-27,34200,35100,34050,34700,467266,0.007256894049346929
2025-03-28,35000,35000,33950,34700,539619,0.0
2025-03-31,34550,36200,34250,35950,1563739,0.036023054755043304
2025-04-01,36250,36500,35500,36400,833313,0.012517385257301727
2025-04-02,36200,36300,35400,35700,455801,-0.019230769230769273
2025-04-03,35100,36000,34900,35900,451171,0.0056022408963585235
2025-04-04,35700,36150,35150,35700,464304,-0.005571030640668551
2025-04-07,35000,35450,33950,34550,530431,-0.03221288515406162
2025-04-08,35000,36200,34800,36200,894823,0.04775687409551366
2025-04-09,35850,36300,35450,35850,647532,-0.00966850828729282
2025-04-10,36550,37800,36000,37800,1194220,0.05439330543933063
2025-04-11,37200,38200,36900,38200,692860,0.010582010582010692
2025-04-14,37900,38700,37450,38600,754754,0.010471204188481575
2025-04-15,38400,39700,38300,39500,900557,0.023316062176165886
2025-04-16,39250,39650,38450,38600,557133,-0.02278481012658229
2025-04-17,38350,39250,38200,39250,554846,0.01683937823834203
2025-04-18,39300,39850,38650,39350,443409,0.002547770700636942
2025-04-21,39350,39550,38700,39000,321357,-0.008894536213468918
2025-04-22,38550,39050,38050,38300,525891,-0.017948717948717996
2025-04-23,38650,39050,38400,38450,527297,0.003916449086161844
2025-04-24,38550,40100,38200,40000,1011208,0.04031209362808852
2025-04-25,40500,40500,39350,39350,479374,-0.016249999999999987
2025-04-28,39500,41650,39450,41150,1002607,0.04574332909783996
2025-04-29,41350,41650,40700,41150,604744,0.0
2025-04-30,41200,41900,40750,41600,745906,0.010935601458080146
2025-05-02,41800,41950,39850,40800,670026,-0.019230769230769273
2025-05-07,40350,43150,40200,43000,1242082,0.05392156862745101
2025-05-08,43200,43500,42100,42700,792831,-0.006976744186046546
2025-05-09,42950,42950,41100,41200,562980,-0.03512880562060894
2025-05-12,42400,44300,42300,44200,1169410,0.07281553398058249
2025-05-13,43700,43950,42650,43500,457940,-0.015837104072398245
2025-05-14,44050,44450,43450,43700,468675,0.0045977011494253706
2025-05-15,43050,43950,42750,43450,501209,-0.005720823798627039
2025-05-16,43600,45000,43500,44600,788957,0.026467203682393636
2025-05-19,44500,45900,44350,45500,927339,0.020179372197309364
2025-05-20,45900,47100,45100,46750,1034580,0.027472527472527375
2025-05-21,47700,49450,47100,48950,1243611,0.04705882352941182
2025-05-22,48450,49500,48250,48550,751796,-0.008171603677221695
2025-05-23,50600,54400,49800,54200,3323088,0.1163748712667354
2025-05-26,56200,58900,55000,58200,2959311,0.07380073800738018
2025-05-27,58000,62100,57900,62000,2547825,0.06529209621993126
2025-05-28,64700,65100,60500,60800,3617677,-0.01935483870967747
2025-05-29,59600,66900,59600,66900,3653502,0.10032894736842102
2025-05-30,66200,66500,62000,63800,3060752,-0.046337817638266054
2025-06-02,61900,66200,61800,65700,2257010,0.029780564263322873
2025-06-04,65500,69600,64500,68800,2405892,0.04718417047184165
2025-06-05,71000,71100,65300,68000,2563947,-0.011627906976744207
2025-06-09,67600,69900,65000,68300,2144626,0.004411764705882337
2025-06-10,68900,74000,68900,72000,3161871,0.05417276720351394
2025-06-11,70600,72500,69200,72100,1650018,0.001388888888888884
2025-06-12,74700,78800,74300,76200,3281611,0.0568654646324549
2025-06-13,76700,77000,72700,73600,2012681,-0.034120734908136496
2025-06-16,74200,79600,74200,79100,2039467,0.07472826086956519
2025-06-17,81300,81600,76000,78000,2072881,-0.013906447534766109
2025-06-18,77800,78700,75000,76700,1631966,-0.01666666666666672
2025-06-19,76900,78900,75000,78400,1438773,0.022164276401564598
2025-06-20,77900,77900,74000,75300,1704580,-0.039540816326530615
2025-06-23,72900,77600,72600,75500,2042571,0.0026560424966799445
2025-06-24,79800,81100,74700,76300,2233691,0.01059602649006619
2025-06-25,77000,85100,76800,81100,5753180,0.0629095674967235
2025-06-26,79000,79800,74600,78900,2724676,-0.027127003699136898
2025-06-27,78100,81000,77400,78800,1223431,-0.0012674271229404788
2025-06-30,80600,81200,78200,78500,1103979,-0.0038071065989847552
2025-07-01,79000,83900,76300,76800,2562657,-0.021656050955414008
2025-07-02,76000,76700,71200,74300,2561405,-0.03255208333333337
2025-07-03,74300,75800,72800,73700,1097457,-0.008075370121130576
2025-07-04,74100,75500,70700,71300,1177507,-0.0325644504748982
2025-07-07,69100,72400,69000,71700,1351422,0.005610098176718203
2025-07-08,72200,74500,71700,73700,1170821,0.02789400278940035
2025-07-09,74300,74900,71900,73800,870031,0.0013568521031208647
2025-07-10,74200,74400,72500,72600,1210561,-0.016260162601625994
2025-07-11,73300,74800,71000,72100,1046519,-0.00688705234159781
2025-07-14,71300,71600,70000,71200,1044603,-0.012482662968099856
2025-07-15,73300,75200,72100,73600,1585866,0.03370786516853941
2025-07-16,73300,73300,70900,71100,982592,-0.03396739130434778
2025-07-17,71800,72000,69900,70600,996646,-0.007032348804500654
2025-07-18,70900,72600,68000,70900,1647683,0.004249291784702569
