Date,Open,High,Low,Close,Volume,Change
2024-12-26,24700,24900,23850,23900,82420,-0.03238866396761131
2024-12-27,23650,24200,23200,23600,81366,-0.012552301255230103
2024-12-30,23200,24150,23200,23600,58728,0.0
2025-01-02,23350,23700,22550,22750,94474,-0.03601694915254239
2025-01-03,22700,24300,22700,24100,107322,0.05934065934065935
2025-01-06,24350,24800,24000,24450,110347,0.014522821576763434
2025-01-07,24450,24950,24250,24450,94713,0.0
2025-01-08,24300,25350,24150,25100,105441,0.026584867075664542
2025-01-09,25250,25500,24400,24550,133285,-0.021912350597609542
2025-01-10,24550,24900,24000,24250,68474,-0.012219959266802416
2025-01-13,24100,24350,23550,23550,68143,-0.028865979381443307
2025-01-14,23700,24450,23400,24250,81564,0.02972399150743099
2025-01-15,24300,24750,23600,23800,51967,-0.01855670103092788
2025-01-16,24300,24500,24000,24050,66857,0.010504201680672232
2025-01-17,23850,24200,23800,23800,61691,-0.01039501039501034
2025-01-20,24050,25850,24000,25250,306219,0.060924369747899165
2025-01-21,25200,25250,23650,24200,160649,-0.04158415841584162
2025-01-22,24200,24650,23800,24250,89024,0.0020661157024792765
2025-01-23,24200,24200,23150,23150,115951,-0.04536082474226799
2025-01-24,23150,23300,22550,23050,83993,-0.004319654427645814
2025-01-31,22900,23000,22100,22100,113593,-0.041214750542299394
2025-02-03,21900,21900,20250,20300,238532,-0.08144796380090502
2025-02-04,20600,22050,20600,21000,175364,0.034482758620689724
2025-02-05,20850,21750,20850,21250,75950,0.011904761904761862
2025-02-06,21500,25100,21250,22600,698061,0.06352941176470583
2025-02-07,22400,25950,21950,24100,636053,0.0663716814159292
2025-02-10,24000,25500,23350,25000,275795,0.03734439834024905
2025-02-11,25000,25100,24150,24700,157355,-0.01200000000000001
2025-02-12,24550,26100,24450,24450,248719,-0.010121457489878583
2025-02-13,24750,25400,24500,25300,136662,0.03476482617586907
2025-02-14,25500,26450,24750,25600,191620,0.011857707509881354
2025-02-17,25800,28350,25650,27950,357516,0.091796875
2025-02-18,27950,30450,27550,29700,451596,0.06261180679785339
2025-02-19,29450,30950,28950,30500,348023,0.026936026936027035
2025-02-20,30550,31550,29950,30100,277326,-0.013114754098360604
2025-02-21,30100,30300,29050,29800,162922,-0.009966777408637828
2025-02-24,29200,30250,28800,30000,154481,0.006711409395973256
2025-02-25,29850,29900,27850,27950,260838,-0.06833333333333336
2025-02-26,27700,29100,27600,28950,199803,0.035778175313059046
2025-02-27,29000,29000,27850,28150,130560,-0.02763385146804831
2025-02-28,27650,27800,26950,27250,139459,-0.03197158081705154
2025-03-04,26500,26950,25600,25700,149710,-0.056880733944954076
2025-03-05,25500,27500,25500,26800,149722,0.04280155642023353
2025-03-06,27250,28900,27050,27050,199239,0.009328358208955168
2025-03-07,26450,28450,26350,27900,136104,0.031423290203327126
2025-03-10,27900,28350,27400,27950,85957,0.0017921146953405742
2025-03-11,27100,27250,26350,27050,113778,-0.03220035778175312
2025-03-12,27200,27450,26500,26700,85746,-0.012939001848428888
2025-03-13,27100,27150,26150,26150,75523,-0.02059925093632964
2025-03-14,26500,27000,25500,26100,148917,-0.0019120458891013214
2025-03-17,26200,26450,25800,26100,67131,0.0
2025-03-18,26100,26600,25900,26550,97196,0.01724137931034475
2025-03-19,26550,27525,26400,26500,110785,-0.0018832391713747842
2025-03-20,27300,27350,26450,26450,88156,-0.0018867924528301883
2025-03-21,26500,27100,25800,25950,342189,-0.018903591682419618
2025-03-24,26000,26250,25650,25750,77492,-0.0077071290944122905
2025-03-25,25900,26400,24950,25000,114076,-0.029126213592232997
2025-03-26,25100,26550,24950,26300,91314,0.052000000000000046
2025-03-27,25900,26300,25200,25300,76833,-0.03802281368821292
2025-03-28,25150,25300,24050,24050,115224,-0.04940711462450598
2025-03-31,23600,23600,22450,22450,134339,-0.06652806652806653
2025-04-01,23800,23800,22100,22300,123941,-0.006681514476614692
2025-04-02,22400,22650,21250,21600,138610,-0.03139013452914796
2025-04-03,20650,21550,20600,21250,105934,-0.01620370370370372
2025-04-04,21050,22400,20700,22400,123954,0.054117647058823604
2025-04-07,21900,22350,21050,21050,106295,-0.060267857142857095
2025-04-08,21500,21750,20900,20950,74999,-0.004750593824228044
2025-04-09,20600,21350,20100,20250,89209,-0.03341288782816232
2025-04-10,21950,22100,21000,22100,154798,0.09135802469135812
2025-04-11,21500,22300,21100,22300,130285,0.009049773755656076
2025-04-14,22300,22700,22100,22350,65048,0.0022421524663676085
2025-04-15,22300,22800,21900,22550,55846,0.008948545861297452
2025-04-16,22550,22800,21750,21850,54127,-0.03104212860310418
2025-04-17,21600,22300,21550,22150,45778,0.013729977116704761
2025-04-18,22250,22400,21800,22150,33129,0.0
2025-04-21,22150,22550,21850,22100,45557,-0.0022573363431150906
2025-04-22,21800,22250,21600,21750,62763,-0.015837104072398245
2025-04-23,22100,22950,22000,22800,98894,0.048275862068965614
2025-04-24,23050,23100,22450,22750,54410,-0.002192982456140302
2025-04-25,23000,23450,22750,23050,55271,0.01318681318681314
2025-04-28,23750,24000,23250,23250,64748,0.008676789587852562
2025-04-29,23650,23750,23050,23450,52625,0.008602150537634357
2025-04-30,23800,23800,22500,22650,61805,-0.034115138592750505
2025-05-02,22650,23000,22300,22650,45457,0.0
2025-05-07,22800,22950,22050,22200,98676,-0.019867549668874163
2025-05-08,22300,22800,22300,22650,36625,0.020270270270270174
2025-05-09,22800,22800,22000,22000,71322,-0.028697571743929395
2025-05-12,22050,22500,21500,22300,97273,0.013636363636363669
2025-05-13,22650,22950,22150,22350,77612,0.0022421524663676085
2025-05-14,22200,22550,21900,22300,95683,-0.0022371364653244186
2025-05-15,22300,22450,21750,21950,55783,-0.015695067264574036
2025-05-16,21950,22000,20850,21000,120871,-0.0432801822323462
2025-05-19,20800,21600,20800,21100,97102,0.004761904761904745
2025-05-20,21350,21500,20200,20200,111639,-0.042654028436018954
2025-05-21,20200,20750,20050,20100,101451,-0.004950495049504955
2025-05-22,20000,20200,19460,19960,129106,-0.006965174129353269
2025-05-23,19980,20250,19610,19730,62797,-0.011523046092184352
2025-05-26,19580,20600,19580,20250,84962,0.026355803345159634
2025-05-27,20000,20150,19700,19900,57981,-0.01728395061728394
2025-05-28,20150,22300,20000,22100,221650,0.11055276381909551
2025-05-29,22450,22450,21500,22350,71096,0.011312217194570096
2025-05-30,22200,22400,21700,22050,56184,-0.01342281879194629
2025-06-02,22100,22600,21600,21850,85665,-0.009070294784580546
2025-06-04,22000,22550,21950,22250,92117,0.01830663615560635
2025-06-05,22150,23000,21950,22350,126871,0.004494382022471877
2025-06-09,22150,22200,21500,22050,92855,-0.01342281879194629
2025-06-10,22250,22250,21800,22000,68862,-0.0022675736961451642
2025-06-11,22050,22750,22050,22400,67806,0.018181818181818077
2025-06-12,22450,23000,22200,22900,105913,0.022321428571428603
2025-06-13,22700,23550,21750,23000,235519,0.004366812227074135
2025-06-16,22750,22750,21700,22200,169411,-0.034782608695652195
2025-06-17,22200,22600,21600,22200,130069,0.0
2025-06-18,21950,22250,21700,22050,109544,-0.006756756756756799
2025-06-19,22150,22800,21950,22300,102042,0.01133786848072571
2025-06-20,22500,23350,22050,23200,235142,0.04035874439461873
2025-06-23,22600,22650,21950,22200,103887,-0.0431034482758621
2025-06-24,22600,23250,22600,23100,121016,0.04054054054054057
2025-06-25,23250,23350,22800,23100,82469,0.0
2025-06-26,23200,23700,22550,22900,131061,-0.008658008658008698
2025-06-27,23150,23150,22050,22150,97319,-0.03275109170305679
2025-06-30,22150,22500,21700,21900,93360,-0.011286681715575675
2025-07-01,21900,22650,21850,22150,96598,0.011415525114155223
2025-07-02,22250,22600,21850,22550,54552,0.018058690744920947
2025-07-03,22550,23550,22150,23350,197509,0.0354767184035476
2025-07-04,23200,23250,22750,23200,78619,-0.0064239828693790635
2025-07-07,23200,23400,22500,22700,64558,-0.02155172413793105
2025-07-08,22450,22750,21900,22200,110144,-0.022026431718061623
2025-07-09,22400,22550,22000,22150,79676,-0.0022522522522522292
2025-07-10,22350,23350,22200,23200,173373,0.04740406320541757
2025-07-11,23300,24150,23200,23400,156529,0.008620689655172376
2025-07-14,23300,23600,22900,22950,78400,-0.019230769230769273
2025-07-15,23200,23200,22700,23000,37593,0.002178649237472685
2025-07-16,22950,23050,22550,22550,71179,-0.019565217391304346
2025-07-17,22800,22950,22300,22650,44830,0.0044345898004434225
2025-07-18,22800,23750,22800,23600,168841,0.04194260485651213
