Date,Open,High,Low,Close,Volume,Change
2024-12-26,118000,119500,117400,119100,87067,0.010178117048346147
2024-12-27,118600,118600,116200,117300,75974,-0.015113350125944613
2024-12-30,116200,120400,114400,118100,112828,0.006820119352088705
2025-01-02,122400,136200,122100,133800,779035,0.1329381879762912
2025-01-03,133000,135300,130700,134500,261916,0.0052316890881913825
2025-01-06,134600,135500,129500,129900,240468,-0.03420074349442381
2025-01-07,130200,133000,129100,129300,135705,-0.004618937644341847
2025-01-08,128700,131300,127000,127400,191077,-0.014694508894044889
2025-01-09,127500,132000,127000,129500,295663,0.016483516483516425
2025-01-10,129800,132900,129400,130400,226868,0.006949806949806847
2025-01-13,130600,131500,129200,131100,137189,0.005368098159509227
2025-01-14,131000,131800,127800,129200,144314,-0.01449275362318836
2025-01-15,129900,131900,129200,129500,93871,0.0023219814241486336
2025-01-16,130000,130600,126800,128100,146708,-0.010810810810810811
2025-01-17,127500,128100,125300,127000,151021,-0.00858704137392663
2025-01-20,125400,128000,124100,125000,119728,-0.015748031496062964
2025-01-21,125800,127900,125100,127900,131704,0.02320000000000011
2025-01-22,128700,133300,127500,133100,230829,0.040656763096168946
2025-01-23,133400,134800,131200,134800,210467,0.01277235161532686
2025-01-24,134800,145800,133400,144100,870724,0.06899109792284874
2025-01-31,145500,151000,145500,149400,363302,0.03678001387925045
2025-02-03,146500,148100,143500,144600,210133,-0.032128514056224855
2025-02-04,146100,146400,141700,142200,161145,-0.016597510373444035
2025-02-05,143100,143100,139100,142700,163949,0.0035161744022502717
2025-02-06,141800,142900,133600,136000,387221,-0.046951646811492664
2025-02-07,136000,136200,133000,133000,200347,-0.022058823529411797
2025-02-10,131300,136000,129300,133800,192092,0.006015037593984918
2025-02-11,133500,135500,131300,131700,143559,-0.015695067264574036
2025-02-12,131400,132700,129900,130600,103631,-0.008352315869400107
2025-02-13,130800,130900,128700,128800,282977,-0.013782542113323082
2025-02-14,128800,131600,127100,130600,146024,0.013975155279503104
2025-02-17,130100,130200,124800,126100,214651,-0.034456355283307816
2025-02-18,126100,129700,125500,128100,148844,0.015860428231562196
2025-02-19,127400,130800,127300,130300,148927,0.01717408274785326
2025-02-20,129000,130900,127600,130400,129397,0.0007674597083653367
2025-02-21,132200,138500,132100,133900,305475,0.026840490797545913
2025-02-24,132800,142300,131800,141100,353214,0.0537714712471995
2025-02-25,140000,142000,137400,138100,178681,-0.021261516654854762
2025-02-26,138900,139100,134700,137000,139822,-0.007965242577842147
2025-02-27,138000,138200,133500,134800,119763,-0.016058394160583966
2025-02-28,133100,133800,129200,130100,205571,-0.034866468842729925
2025-03-04,128800,135500,128800,131900,121932,0.013835511145272816
2025-03-05,132900,135200,132300,132800,111925,0.006823351023502733
2025-03-06,133500,135500,131900,133100,91472,0.0022590361445782303
2025-03-07,132800,133900,128000,128400,157603,-0.03531179564237419
