Date,Open,High,Low,Close,Volume,Change
2024-12-26,9830,9890,9720,9730,142844,-0.005112474437627856
2024-12-27,9730,9790,9550,9590,103687,-0.014388489208633115
2024-12-30,9560,9750,9500,9600,100761,0.0010427528675704956
2025-01-02,9610,9740,9610,9670,74608,0.007291666666666696
2025-01-03,9670,9980,9670,9800,164118,0.013443640124095158
2025-01-06,9800,10060,9800,10000,236773,0.020408163265306145
2025-01-07,10090,10150,9880,9930,148812,-0.007000000000000006
2025-01-08,9900,10070,9900,9940,106194,0.001007049345417954
2025-01-09,10000,10010,9850,9860,122008,-0.008048289738430636
2025-01-10,9960,10020,9600,9980,138153,0.012170385395537497
2025-01-13,9980,10070,9860,9920,97867,-0.006012024048096198
2025-01-14,9940,10040,9890,9980,88771,0.006048387096774244
2025-01-15,10040,10240,10040,10120,330290,0.014028056112224352
2025-01-16,10210,10210,9960,9960,230910,-0.015810276679841917
2025-01-17,10000,10190,9960,10170,254932,0.02108433734939763
2025-01-20,10190,10240,10050,10090,167367,-0.007866273352999054
2025-01-21,10110,10190,10000,10030,131471,-0.00594648166501488
2025-01-22,10010,10090,9990,9990,126347,-0.003988035892322994
2025-01-23,10040,10040,9940,9950,93264,-0.004004004004004025
2025-01-24,9950,10080,9950,9980,119134,0.0030150753768845018
2025-01-31,9980,10000,9850,9910,161842,-0.007014028056112176
2025-02-03,9870,9870,9650,9730,139121,-0.01816347124117057
2025-02-04,9730,10010,9730,9970,124299,0.02466598150051391
2025-02-05,9960,10080,9910,9910,150894,-0.006018054162487463
2025-02-06,9930,9990,9890,9920,113761,0.0010090817356205317
2025-02-07,9930,9980,9870,9920,160539,0.0
2025-02-10,9940,10060,9910,10000,155980,0.008064516129032251
2025-02-11,10040,10200,9980,9990,244030,-0.0010000000000000009
2025-02-12,10070,10280,10050,10280,415688,0.02902902902902893
2025-02-13,10390,10390,10200,10240,353615,-0.0038910505836575737
2025-02-14,10300,10400,10250,10350,255940,0.0107421875
2025-02-17,10400,10490,10350,10470,357668,0.011594202898550732
2025-02-18,10500,10520,10290,10430,251370,-0.00382043935052534
2025-02-19,10420,10430,10210,10410,286355,-0.0019175455417066445
2025-02-20,10580,11120,10560,10840,1310642,0.04130643611911622
2025-02-21,10840,10930,10730,10860,368223,0.0018450184501845879
2025-02-24,10720,10830,10650,10740,262991,-0.011049723756906049
2025-02-25,10720,11330,10650,11300,970215,0.05214152700186214
2025-02-26,11300,11310,11050,11170,439774,-0.011504424778761013
2025-02-27,11170,11340,11070,11230,294862,0.005371530886302489
2025-02-28,11150,11290,10900,10910,430761,-0.02849510240427422
2025-03-04,10840,11060,10670,10720,301158,-0.01741521539871682
2025-03-05,10710,10890,10550,10690,258492,-0.002798507462686617
2025-03-06,10790,10840,10610,10650,211427,-0.003741814780168329
2025-03-07,10750,11130,10550,11010,432102,0.033802816901408406
2025-03-10,11110,11110,10910,10980,174285,-0.0027247956403270157
2025-03-11,10780,11130,10720,11060,212639,0.007285974499089187
2025-03-12,11060,11140,10980,11020,174099,-0.003616636528028905
2025-03-13,11090,11090,10050,10300,818554,-0.06533575317604357
2025-03-14,10230,10360,10100,10320,345083,0.001941747572815622
2025-03-17,10400,10540,10330,10520,195241,0.019379844961240345
2025-03-18,10540,10580,10470,10560,136215,0.0038022813688212143
2025-03-19,10580,10770,10520,10620,152296,0.005681818181818121
2025-03-20,10620,10700,10510,10550,176649,-0.006591337099811634
2025-03-21,10680,11080,10650,10790,1058520,0.02274881516587679
2025-03-24,10870,10980,10700,10710,365736,-0.007414272474513428
2025-03-25,10770,10840,10570,10760,258852,0.00466853408029877
2025-03-26,10750,10930,10680,10840,225241,0.0074349442379182396
2025-03-27,10840,10920,10600,10850,174075,0.0009225092250921829
2025-03-28,10930,11000,10720,11000,294226,0.01382488479262678
2025-03-31,11000,11040,10730,10930,287737,-0.006363636363636349
2025-04-01,10970,11200,10960,11150,284806,0.020128087831656094
2025-04-02,11200,11210,10820,10830,221219,-0.028699551569506765
2025-04-03,10690,11160,10630,11070,259079,0.02216066481994461
2025-04-04,10900,11570,10900,11570,719525,0.04516711833785014
2025-04-07,11390,11450,11010,11120,482447,-0.03889369057908387
2025-04-08,11230,11640,11160,11560,461603,0.03956834532374098
2025-04-09,11480,11540,11120,11210,293151,-0.030276816608996504
2025-04-10,11590,11610,11320,11420,267575,0.01873327386262269
2025-04-11,11380,11620,11300,11530,260180,0.009632224168126147
2025-04-14,11580,11700,11450,11640,267685,0.0095403295750216
2025-04-15,11680,12100,11610,12000,548693,0.030927835051546282
2025-04-16,11990,12200,11950,12030,368285,0.0024999999999999467
2025-04-17,12140,12410,11940,12180,468739,0.012468827930174564
2025-04-18,12200,12320,12080,12140,301656,-0.003284072249589487
2025-04-21,12230,12390,12100,12260,303330,0.009884678747940745
2025-04-22,12180,12400,12160,12260,293694,0.0
2025-04-23,12330,12350,12000,12270,321931,0.0008156606851550396
2025-04-24,12220,12220,11910,12010,222746,-0.021189894050529734
