Date,Open,High,Low,Close,Volume,Change
2025-01-16,36230,36897,35674,35841,269188,-0.0137585647065298
2025-01-17,36619,38453,35230,36397,777427,0.0155129600178567
2025-01-20,36452,36508,32396,33285,865873,-0.085501552325741
2025-01-21,34007,34452,33563,34230,327158,0.028391167192429
2025-01-22,34341,36341,33952,36008,418654,0.0519427402862986
2025-01-23,37619,38675,36452,37619,499599,0.044740057764941
2025-01-24,37786,38508,36730,37786,483190,0.0044392461256279
2025-01-31,34619,35008,32285,33507,338961,-0.1132430000529296
2025-02-03,32174,32229,29618,30451,339962,-0.0912048228728324
2025-02-04,30729,32507,30729,32118,178563,0.0547436865784374
2025-02-05,32507,32674,31118,31896,103663,-0.0069120119559126
2025-02-06,32396,33285,31562,32952,125988,0.0331075996990217
2025-02-07,32674,33063,31951,32396,79509,-0.0168730274338431
2025-02-10,31729,32674,31118,32063,83379,-0.0102790467959007
2025-02-11,32063,32174,30840,31340,121178,-0.0225493559554627
2025-02-12,31507,32952,30340,31729,176258,0.0124122527121888
2025-02-13,32507,33785,32340,33730,224657,0.0630653345519871
2025-02-14,34119,34174,30951,31451,292044,-0.0675659650163059
2025-02-17,31674,32285,30840,31951,138580,0.0158977456996598
2025-02-18,32174,33896,31674,33174,414392,0.0382773622108854
2025-02-19,34341,34619,30951,32174,337108,-0.0301440887441972
2025-02-20,32840,33730,31285,31840,219755,-0.010381053024181
2025-02-21,31674,32229,31340,31674,101161,-0.005213567839196
2025-02-24,30729,31173,29729,29784,234812,-0.0596703921197196
2025-02-25,28951,29117,28117,28895,298062,-0.0298482406661294
2025-02-26,28673,29729,28673,29062,134570,0.0057795466343657
2025-02-27,29340,29729,28339,28395,103907,-0.0229509324891611
2025-02-28,27450,28228,26867,27673,291287,-0.0254270117978517
2025-03-04,26006,27423,26006,27228,116382,-0.0160806562353196
2025-03-05,28173,29062,27395,28784,199764,0.0571470545027177
2025-03-06,29340,31229,27673,28339,458612,-0.0154599777654251
2025-03-07,27756,30507,27284,27784,335191,-0.0195843184304315
2025-03-10,27756,30229,27284,28728,235802,0.0339763892887992
2025-03-11,27228,28062,27228,27450,160540,-0.0444862155388471
2025-03-12,27839,27839,26089,26144,226644,-0.0475774134790528
2025-03-13,26367,28006,26339,27700,300524,0.059516523867809
2025-03-14,28117,30395,28062,29951,342195,0.0812635379061372
2025-03-17,30229,30229,29117,29340,103533,-0.0203999866448532
2025-03-18,29562,29951,28951,29173,101053,-0.0056918882072256
2025-03-19,29173,29340,28339,28506,96966,-0.022863606759675
2025-03-20,28728,28923,28062,28173,83673,-0.0116817512102714
2025-03-21,28284,28339,26950,26950,174838,-0.043410357434423
2025-03-24,27200,27673,26672,27311,52891,0.013395176252319
2025-03-25,27061,28117,26256,26256,115549,-0.0386291237962725
2025-03-26,26506,27228,26256,26256,120696,0.0
2025-03-27,25839,26006,24575,24616,209176,-0.0624619134673979
2025-03-28,24227,24561,23561,24033,136120,-0.0236837829054273
2025-03-31,23172,23727,22894,22894,70615,-0.0473931677277077
2025-04-01,22949,23505,22366,22949,94272,0.0024023761684284
2025-04-02,23033,23172,21477,21560,209474,-0.0605255130942524
2025-04-03,20560,22366,20560,21949,119112,0.0180426716141002
2025-04-04,21616,22894,21393,22088,122538,0.0063328625449907
2025-04-07,21199,21254,19393,19504,192384,-0.1169865990583122
2025-04-08,19810,20282,19699,19921,96264,0.0213802296964724
2025-04-09,19504,20143,19115,19587,77261,-0.0167662265950504
2025-04-10,21366,21755,20699,21421,113985,0.093633532444989
2025-04-11,21560,22116,20504,22032,75805,0.0285234116054338
2025-04-14,22533,22922,22199,22560,143205,0.0239651416122004
2025-04-15,22838,25200,22783,25144,306353,0.1145390070921985
2025-04-16,25589,26061,24561,24616,197503,-0.0209990454979319
2025-04-17,24450,26811,24311,26700,262778,0.0846603834904127
2025-04-18,27589,27617,26672,26950,179130,0.0093632958801497
2025-04-21,26950,27756,26950,27395,97038,0.0165120593692023
2025-04-22,26839,27645,26367,26422,121001,-0.0355174301879904
