Date,Open,High,Low,Close,Volume,Change
2024-12-26,12300,12330,11960,12010,67019,-0.023577235772357708
2024-12-27,11910,12100,11720,11830,64985,-0.014987510407993287
2024-12-30,11700,11940,11580,11790,46244,-0.0033812341504648735
2025-01-02,11790,11950,11600,11720,42509,-0.00593723494486853
2025-01-03,11730,12290,11720,12110,102621,0.03327645051194539
2025-01-06,12120,12610,12120,12470,101163,0.029727497935590375
2025-01-07,12510,12610,12160,12210,86885,-0.020850040096230926
2025-01-08,12200,12460,12080,12460,109077,0.020475020475020367
2025-01-09,12410,12410,12110,12220,93644,-0.019261637239165297
2025-01-10,12180,12320,12080,12220,55622,0.0
2025-01-13,12210,12210,11830,11850,119157,-0.030278232405892003
2025-01-14,11850,12210,11850,12210,68224,0.030379746835442978
2025-01-15,12220,12360,11880,11920,53119,-0.02375102375102378
2025-01-16,12100,12220,11950,12070,61094,0.012583892617449743
2025-01-17,12070,12090,11830,11900,47629,-0.014084507042253502
2025-01-20,12090,12280,11900,12250,82584,0.02941176470588225
2025-01-21,12300,12990,12100,12940,223548,0.05632653061224491
2025-01-22,12760,15710,12760,14840,1697137,0.14683153013910366
2025-01-23,15140,15300,13980,14100,529912,-0.049865229110512166
2025-01-24,14390,14890,13880,14450,589969,0.024822695035461084
2025-01-31,14600,16050,14600,15450,1229650,0.0692041522491349
2025-02-03,15450,17830,14840,17030,2800598,0.10226537216828469
2025-02-04,17010,18390,16470,16900,1200744,-0.007633587786259555
2025-02-05,17220,18380,17150,17840,1202828,0.0556213017751479
2025-02-06,17850,17870,17010,17130,460964,-0.03979820627802688
2025-02-07,17140,17140,16080,16120,667227,-0.05896088733216576
2025-02-10,16080,16530,15750,15880,474990,-0.01488833746898266
2025-02-11,16040,16050,15100,15100,667287,-0.04911838790931988
2025-02-12,15150,15720,15020,15100,329992,0.0
2025-02-13,15120,15310,14590,14760,355023,-0.02251655629139071
2025-02-14,14920,15800,14820,15380,700892,0.042005420054200604
2025-02-17,15490,15760,15160,15400,387024,0.0013003901170351995
2025-02-18,15440,15440,14210,14330,680987,-0.06948051948051948
2025-02-19,14400,14750,14210,14580,412076,0.017445917655268595
2025-02-20,14610,14730,14300,14540,194636,-0.002743484224965731
2025-02-21,14550,14810,14310,14430,169719,-0.007565337001375516
2025-02-24,14290,14290,13950,14130,151525,-0.02079002079002079
2025-02-25,14060,14170,13890,14040,113389,-0.006369426751592355
2025-02-26,14190,14440,14030,14180,148794,0.009971509971509862
2025-02-27,14210,14350,14080,14160,92357,-0.0014104372355430161
2025-02-28,13900,13900,13470,13470,189620,-0.048728813559322015
2025-03-04,13150,13500,13030,13370,63400,-0.007423904974016349
2025-03-05,13260,13680,13260,13680,49782,0.023186237845923774
2025-03-06,13730,13770,13370,13380,84590,-0.021929824561403466
2025-03-07,13260,13500,13120,13210,58205,-0.012705530642750373
2025-03-10,13210,13280,13000,13110,73977,-0.007570022710068125
2025-03-11,12560,13140,12540,13100,93795,-0.0007627765064835978
2025-03-12,13060,13300,12960,13260,43668,0.012213740458015376
2025-03-13,13270,13410,12970,12990,72410,-0.020361990950226283
2025-03-14,13060,13320,12950,13270,48402,0.021555042340261732
2025-03-17,13380,13430,13170,13350,113210,0.006028636021100153
2025-03-18,13300,13400,13140,13320,49901,-0.0022471910112359383
2025-03-19,13320,13470,13220,13370,46565,0.0037537537537537524
2025-03-20,13420,13730,13350,13370,76710,0.0
2025-03-21,13480,13500,13150,13340,73687,-0.002243829468960401
2025-03-24,13340,13470,13130,13310,41195,-0.002248875562218866
2025-03-25,13260,13550,13110,13150,68720,-0.012021036814425234
2025-03-26,13250,13330,13090,13330,37821,0.013688212927756682
2025-03-27,13250,13250,12850,12850,114641,-0.036009002250562694
2025-03-28,12820,12830,12300,12300,107892,-0.04280155642023342
2025-03-31,11710,12500,11710,12020,92674,-0.02276422764227637
2025-04-01,12050,12260,11920,11960,42642,-0.004991680532445919
2025-04-02,11950,12070,11660,11690,58793,-0.022575250836120442
2025-04-03,11350,11740,11250,11480,52069,-0.017964071856287456
2025-04-04,11090,11590,11090,11350,84160,-0.011324041811846652
2025-04-07,10990,11080,10450,10450,112738,-0.07929515418502198
2025-04-08,10520,10770,10260,10280,67961,-0.016267942583732098
2025-04-09,10100,10280,9940,9990,79610,-0.02821011673151752
2025-04-10,10730,10800,10510,10730,47799,0.07407407407407418
2025-04-11,10670,10940,10210,10890,42861,0.01491146318732528
2025-04-14,11450,11540,11220,11330,81191,0.04040404040404044
2025-04-15,11360,11630,11040,11570,34442,0.02118270079435125
2025-04-16,11450,11570,11120,11140,37771,-0.03716508210890235
2025-04-17,11020,11420,11020,11380,18100,0.021543985637342944
