Date,Open,High,Low,Close,Volume,Change
2025-01-16,10300,10310,10110,10160,221447,0.0009852216748769
2025-01-17,11150,12900,11000,11830,8685158,0.1643700787401574
2025-01-20,12180,13570,11810,12660,13061683,0.0701606086221471
2025-01-21,12830,13110,12660,12760,2203914,0.0078988941548183
2025-01-22,12940,13400,12820,12860,3032453,0.0078369905956112
2025-01-23,12850,12990,12480,12480,1000399,-0.0295489891135303
2025-01-24,13110,13160,12670,12730,1682242,0.0200320512820513
2025-01-31,12300,12450,11910,11980,767052,-0.0589159465828751
2025-02-03,11690,11930,11540,11660,457958,-0.026711185308848
2025-02-04,11800,12110,11680,11850,459534,0.016295025728988
2025-02-05,11830,11900,11570,11680,386430,-0.0143459915611814
2025-02-06,11840,11980,11680,11750,310163,0.0059931506849315
2025-02-07,11200,11390,10800,11210,712571,-0.0459574468085106
2025-02-10,11340,11480,11010,11210,300638,0.0
2025-02-11,11250,11700,11250,11580,450599,0.0330062444246208
2025-02-12,11650,11800,11440,11700,326520,0.0103626943005181
2025-02-13,11800,11800,11500,11670,333499,-0.0025641025641025
2025-02-14,11640,12460,11500,11910,1351203,0.0205655526992287
2025-02-17,11590,12740,11260,11900,1760342,-0.0008396305625524
2025-02-18,12110,12600,12050,12410,1655966,0.0428571428571429
2025-02-19,12600,12600,12030,12150,647977,-0.0209508460918613
2025-02-20,12100,12100,11670,11690,392199,-0.0378600823045267
2025-02-21,11590,11830,11590,11740,166255,0.0042771599657827
2025-02-24,11510,11620,11450,11540,223102,-0.0170357751277683
2025-02-25,11500,11630,11330,11540,170015,0.0
2025-02-26,11470,11590,11360,11480,158422,-0.0051993067590987
2025-02-27,11590,11690,11420,11430,159195,-0.0043554006968641
2025-02-28,11200,11480,11020,11020,267957,-0.0358705161854767
2025-03-04,10800,11240,10710,10910,164480,-0.0099818511796733
2025-03-05,11040,11410,11040,11370,248793,0.0421631530705775
2025-03-06,11360,11420,11070,11130,140656,-0.021108179419525
2025-03-07,11110,11290,10950,11160,118920,0.0026954177897573
2025-03-10,11060,11100,10800,10960,163544,-0.0179211469534049
2025-03-11,10610,10840,10500,10700,147319,-0.0237226277372263
2025-03-12,10890,11080,10800,10800,125884,0.0093457943925232
2025-03-13,10800,11130,10710,10780,136064,-0.0018518518518518
2025-03-14,10890,11160,10880,11080,143143,0.0278293135435991
2025-03-17,11100,11120,10590,10600,392796,-0.0433212996389891
2025-03-18,10540,10770,10480,10640,138265,0.0037735849056603
2025-03-19,10650,10800,10520,10520,159162,-0.0112781954887217
2025-03-20,10610,10660,10280,10290,187326,-0.0218631178707224
2025-03-21,10210,10850,10200,10660,263140,0.0359572400388727
2025-03-24,10540,10620,10310,10320,185879,-0.0318949343339587
2025-03-25,10400,10720,10250,10390,164250,0.0067829457364341
2025-03-26,10360,10470,10220,10340,77433,-0.0048123195380173
2025-03-27,10180,10380,10050,10090,98283,-0.0241779497098646
2025-03-28,10080,10110,9880,9950,113075,-0.0138751238850346
2025-03-31,9530,9800,9530,9550,92496,-0.0402010050251255
2025-04-01,9550,9920,9550,9900,100399,0.0366492146596859
2025-04-02,9860,9980,9710,9730,78135,-0.0171717171717171
