Date,Open,High,Low,Close,Volume,Change
2025-01-06,2945,3065,2890,2995,333149,0.0221843003412969
2025-01-07,3050,3085,2965,3015,184603,0.0066777963272119
2025-01-08,3000,3145,2915,3105,340869,0.0298507462686568
2025-01-09,3050,3290,3045,3270,453360,0.0531400966183575
2025-01-10,3200,3200,2685,3170,1695686,-0.0305810397553516
2025-01-13,3170,3300,3000,3275,675328,0.0331230283911672
2025-01-14,3300,3585,3070,3305,1230700,0.0091603053435114
2025-01-15,3240,3315,2850,2995,5163161,-0.0937972768532526
2025-01-16,3075,3075,2100,2100,6578939,-0.2988313856427379
2025-01-17,2060,2060,1470,1704,61753581,-0.1885714285714286
2025-01-20,1640,1747,1541,1550,12854943,-0.0903755868544601
2025-01-21,1545,1575,1389,1389,9326786,-0.1038709677419355
2025-01-22,1432,1446,973,973,76880620,-0.2994960403167747
2025-01-23,997,1038,906,946,36906576,-0.027749229188078
2025-01-24,930,1034,910,966,18974497,0.0211416490486258
2025-01-31,971,974,911,919,5455286,-0.0486542443064181
2025-02-03,900,900,830,877,5506370,-0.0457018498367791
2025-02-04,877,928,845,870,3874564,-0.007981755986317
2025-02-05,866,890,818,829,4361499,-0.0471264367816092
2025-02-06,828,848,797,805,3738079,-0.0289505428226779
2025-02-07,813,820,751,752,4588874,-0.0658385093167701
2025-02-10,756,977,756,977,20775216,0.2992021276595744
2025-02-11,1037,1092,864,870,20307935,-0.1095189355168884
2025-02-12,870,890,803,821,5133921,-0.0563218390804597
2025-02-13,840,884,810,829,2626264,0.0097442143727162
2025-02-14,840,840,800,809,2345072,-0.0241254523522316
2025-02-17,814,814,797,811,1388578,0.0024721878862794
2025-02-18,800,801,775,784,1819584,-0.033292231812577
2025-02-19,784,799,756,790,2361990,0.0076530612244898
2025-02-20,802,828,765,781,1533956,-0.011392405063291
2025-02-21,784,789,763,769,1597135,-0.0153649167733674
2025-02-24,785,785,760,769,1083730,0.0
2025-02-25,769,775,750,750,1143263,-0.0247074122236671
2025-02-26,754,755,730,731,1468410,-0.0253333333333333
2025-02-27,725,736,602,645,6760513,-0.1176470588235294
2025-02-28,672,672,609,630,2822789,-0.0232558139534884
2025-03-04,630,780,628,674,17796897,0.0698412698412698
2025-03-05,680,760,680,685,6024054,0.0163204747774481
2025-03-06,680,680,637,652,2191854,-0.0481751824817517
2025-03-07,679,680,645,652,1362922,0.0
2025-03-10,670,737,654,689,4462096,0.0567484662576687
2025-03-11,660,718,628,711,1787092,0.0319303338171261
2025-03-12,710,718,691,699,1088347,-0.0168776371308017
2025-03-13,697,734,685,710,1686120,0.0157367668097281
2025-03-14,737,742,694,720,1135906,0.0140845070422535
2025-03-17,720,734,700,708,811013,-0.0166666666666667
2025-03-18,709,732,705,708,1239321,0.0
2025-03-19,709,728,694,697,857934,-0.0155367231638418
2025-03-20,736,900,735,823,27945044,0.1807747489239597
2025-03-21,849,849,741,750,4291068,-0.0886998784933171
2025-03-24,754,764,716,750,1958330,0.0
2025-03-25,739,750,725,740,1145789,-0.0133333333333333
2025-03-26,751,786,733,740,1148955,0.0
2025-03-27,739,753,724,725,1204720,-0.0202702702702702
2025-03-28,724,745,711,714,662101,-0.0151724137931034
2025-03-31,714,724,681,714,890755,0.0
2025-04-01,721,770,698,725,1714760,0.0154061624649859
2025-04-02,726,726,684,685,988885,-0.0551724137931034
2025-04-03,681,683,635,666,966381,-0.0277372262773722
2025-04-04,652,675,650,669,897131,0.0045045045045044
2025-04-07,659,659,630,644,932893,-0.0373692077727951
2025-04-08,647,705,640,652,819816,0.0124223602484472
2025-04-09,652,652,619,622,570390,-0.0460122699386502
2025-04-10,640,679,615,622,1572295,0.0
2025-04-11,618,634,604,628,808157,0.0096463022508037
2025-04-14,628,639,626,631,698292,0.0047770700636942
2025-04-15,635,655,620,643,780464,0.0190174326465926
2025-04-16,644,669,635,641,956750,-0.0031104199066873
2025-04-17,655,655,630,632,456565,-0.0140405616224649
2025-04-18,616,639,612,619,874386,-0.0205696202531645
2025-04-21,620,630,614,624,437396,0.0080775444264944
2025-04-22,621,621,608,610,687148,-0.0224358974358974
2025-04-23,611,617,595,607,921020,-0.0049180327868852
2025-04-24,610,614,594,599,826758,-0.0131795716639209
2025-04-25,602,695,593,657,7785074,0.0968280467445743
2025-04-28,664,695,635,635,2336556,-0.0334855403348554
2025-04-29,637,655,621,633,845541,-0.0031496062992125
2025-04-30,625,721,625,683,3747981,0.0789889415481832
2025-05-02,673,785,650,777,4667929,0.137628111273792
2025-05-07,770,773,700,729,2160261,-0.0617760617760617
2025-05-08,737,783,710,748,1940850,0.0260631001371742
2025-05-09,741,742,714,727,855923,-0.0280748663101604
2025-05-12,735,770,705,724,994004,-0.0041265474552957
2025-05-13,714,750,714,729,920347,0.0069060773480662
2025-05-14,729,840,720,820,7129456,0.1248285322359397
2025-05-15,813,898,779,886,5311890,0.0804878048780488
2025-05-16,878,915,845,887,2968000,0.0011286681715576
2025-05-19,887,975,869,975,4131209,0.0992108229988726
2025-05-20,975,1008,923,1000,2893956,0.0256410256410255
2025-05-21,1000,1075,976,980,3839134,-0.02
2025-05-22,952,986,910,946,1794665,-0.0346938775510203
2025-05-23,936,946,881,944,1190700,-0.0021141649048626
2025-05-26,944,1029,902,1007,3192229,0.0667372881355932
2025-05-27,1013,1035,924,924,1705383,-0.0824230387288976
2025-05-28,911,940,816,837,3386103,-0.0941558441558441
2025-05-29,838,876,790,792,1766334,-0.053763440860215
2025-05-30,792,850,773,827,2069205,0.0441919191919191
2025-06-02,827,839,775,779,1484041,-0.0580411124546553
2025-06-04,779,810,748,760,1434331,-0.024390243902439
2025-06-05,760,789,758,761,824266,0.0013157894736841
2025-06-09,761,773,740,750,763754,-0.014454664914586
2025-06-10,750,759,735,744,751850,-0.008
2025-06-11,744,770,737,746,733845,0.0026881720430107
2025-06-12,747,754,735,739,607359,-0.0093833780160857
2025-06-13,740,740,708,718,1165518,-0.0284167794316644
2025-06-16,707,715,652,660,927351,-0.0807799442896936
2025-06-17,666,731,666,700,1091751,0.0606060606060605
2025-06-18,700,700,675,682,607392,-0.0257142857142856
2025-06-19,682,699,659,675,690314,-0.0102639296187683
2025-06-20,678,690,665,668,571359,-0.0103703703703703
2025-06-23,678,678,652,654,589396,-0.0209580838323353
2025-06-24,666,674,648,657,541705,0.0045871559633028
2025-06-25,657,719,645,665,1411328,0.0121765601217656
