Date,Open,High,Low,Close,Volume
2015-01-02,212.8178409710352,213.6075431641156,210.58177625339405,212.15284729003903,314300
2015-01-05,210.8893129583845,211.4213154542469,206.3007835041089,206.96578979492188,394100
2015-01-06,207.42298432186496,207.7638017930855,201.86188834821252,204.03146362304688,427300
2015-01-07,204.48867106175945,205.37811974369373,202.0863453115216,204.21435546875,339500
2015-01-08,205.63576356760916,208.8360861137207,205.63576356760916,208.7612762451172,453000
2015-01-09,208.39556168158137,208.46206358314157,205.22017515671135,206.3423614501953,335900
2015-01-12,207.0156385802382,207.7720833051844,202.90925153897004,203.7820587158203,367500
2015-01-13,205.18691779192352,206.1345476919274,200.60670872256148,202.36065673828125,399500
2015-01-14,201.09714927652504,201.99490593609173,199.50114166527575,201.0805206298828,753800
2015-01-15,202.0198530384807,203.49117758605135,197.63913669077763,197.7721405029297,489900
2015-01-16,197.77210123195255,200.82280422025005,195.3780838243547,200.57342529296875,654300
2015-01-20,201.1636342069332,202.63495855408215,199.34318441339877,201.6707000732422,365200
2015-01-21,200.46541452217463,205.29500297494388,200.2576008181213,202.9841156005859,470500
2015-01-22,203.84027852600153,204.5884026823421,202.144511835184,203.7904052734375,404800
2015-01-23,202.4105783433877,205.89353857922032,202.4105783433877,204.48040771484375,791900
2015-01-26,196.52521005529408,201.06386573018025,194.09794815715728,195.1868896484375,1164100
2015-01-27,191.65415772682857,193.97336636401536,190.3906465294638,192.5851593017578,672800
2015-01-28,193.48284446323615,193.6241562438571,190.6732121288744,192.05308532714844,698800
2015-01-29,192.4271816578817,196.8827079728825,192.12792941717484,196.1096343994141,660400
2015-01-30,194.77965354452493,198.1379177473181,193.9068333659258,196.04315185546875,673100
2015-02-02,194.30581651970303,200.3407220195076,193.92343371695432,199.9250946044922,563700
2015-02-03,201.03062293241825,203.85689637275345,200.9724417021556,203.29995727539065,472300
2015-02-04,201.3464780796376,201.53766307460077,196.34232213803168,198.80284118652344,1554100
2015-02-05,200.113852950392,201.5751475532805,198.7110162475284,200.42282104492188,833300
2015-02-06,200.02204956274724,202.719191734008,200.02204956274724,200.65667724609375,506700
2015-02-09,199.7130847619889,201.95930581690163,198.21839444291172,199.26217651367188,508800
2015-02-10,200.12223568805203,200.40614133031497,197.6171589214231,199.47091674804688,446100
2015-02-11,198.51064427970823,199.54608067302095,196.69864014752116,198.402099609375,889000
2015-02-12,197.70067178034077,198.39374461099453,192.48176137615312,195.6548614501953,1278100
2015-02-13,195.72170398618408,197.58380802139203,195.67995014634437,196.1225128173828,663700
2015-02-17,196.17254968496837,197.11613264980383,193.55056992299447,195.2623748779297,800500
2015-02-18,195.6798917201784,198.6108396659312,195.571347058784,196.77377319335935,711400
2015-02-19,196.873983745764,197.70900932229264,195.8218433647913,196.69027709960935,528700
2015-02-20,195.9888350423471,198.9364739527695,194.76969224136,198.85296630859375,608800
2015-02-23,197.78414694751655,198.5440232354741,196.50655890979723,197.20797729492188,487700
2015-02-24,197.0660355254633,198.9782384842689,196.26440536792248,198.3269195556641,579500
2015-02-25,198.0429910928736,201.18268230329443,196.64850007355855,200.06375122070312,555200
2015-02-26,200.03036175191352,200.9822903154839,199.0867788564394,200.7234344482422,559200
2015-02-27,200.52307245493063,201.20779964950805,197.8259429931641,197.8259429931641,762900
2015-03-02,197.82594068344417,199.90514651179055,197.066064242182,199.73814392089844,546500
2015-03-03,199.1535459879957,201.6335722969756,198.28512523018833,201.48326110839844,694600
2015-03-04,199.10353535865983,199.34568721199037,194.65284672770372,197.06607055664065,1158800
2015-03-05,197.66724314824376,199.69634905655383,196.61511557446943,198.76947021484375,540200
2015-03-06,197.23301900903223,197.51692461885693,195.9554310233432,196.4564514160156,483500
2015-03-09,196.6902813772196,198.21837974447743,195.98886293563612,196.9240875244141,520800
2015-03-10,195.02861650191443,195.98890378082336,192.22292940938027,192.28138732910156,946600
2015-03-11,192.0558551734078,194.13507314895608,190.51105298085685,193.86785888671875,974100
2015-03-12,194.5692722633108,195.4293474431075,192.181099006595,193.48374938964844,602200
2015-03-13,192.74059688209368,193.8845777686438,191.5465037614394,192.65708923339844,665000
2015-03-16,193.65076623347045,195.53791927137848,192.71552901182255,195.40431213378903,445900
2015-03-17,193.80110313919687,196.2560806279592,192.87422414326576,195.79681396484375,510200
2015-03-18,195.3876939175836,199.8634327699596,193.87628649826104,199.07850646972656,704200
2015-03-19,197.95951502633213,198.72773701023095,196.0472993644879,197.95115661621097,533100
2015-03-20,198.7945752597762,199.05343118910912,196.92411309783455,197.1913146972656,1248500
2015-03-23,195.61308320339745,195.73834468235185,193.88458691884105,195.03692626953125,645600
2015-03-24,195.00351085333008,197.28312698088305,195.00351085333008,195.5713348388672,535300
2015-03-25,196.82389216593057,197.5336562896386,195.5713537507614,196.0890655517578,606300
2015-03-26,195.76339262710312,196.4815151121337,194.85321783255236,195.67153930664065,504000
2015-03-27,195.50454013790153,196.38130679033256,194.7112556558293,195.89700317382812,382900
2015-03-30,196.77379999517464,198.89477239640476,196.1892845567777,198.3102569580078,395200
2015-03-31,197.73412034943655,197.90112296820172,196.0390189230782,196.90744018554688,500100
2015-04-01,196.13079366497243,196.8823115189472,193.14974651181808,193.6257171630859,782300
2015-04-02,193.6256518251897,195.02014241169937,191.93055165023347,192.4065093994141,609400
2015-04-06,191.05385736041129,197.3081908690758,190.42758816850093,196.35626220703125,560800
2015-04-07,195.23734837022016,196.18093144737415,193.92636470392097,194.4440765380859,513200
