Date,Open,High,Low,Close,Volume
2015-01-02,14.623688664710334,14.768420340603097,14.588953371676288,14.739473342895508,2716400
2015-01-05,14.733681203502764,14.994197489611135,14.710523611378589,14.872623443603516,4106100
2015-01-06,14.959465026855469,15.06367200263719,14.884203942473125,14.959465026855469,4957900
2015-01-07,15.034727239431584,15.387872908858167,14.924731952409484,15.3473482131958,4571600
2015-01-08,15.422608705940355,15.492080403773814,15.301034615000775,15.399452209472656,4189100
2015-01-09,15.439977480105702,15.468923377819571,15.306824583877551,15.364717483520508,2812200
2015-01-12,15.393657013119784,15.509442764506948,15.382078217138114,15.4573392868042,2691400
2015-01-13,15.480502268961338,15.602077469342786,15.416819968560803,15.526816368103027,3453000
2015-01-14,15.428392808584764,15.804694856752237,15.411025718250984,15.787327766418455,3532600
2015-01-15,15.85680252630006,15.961009512698348,15.717860245840711,15.793121337890623,3528100
2015-01-16,15.735226617717288,16.053635835434307,15.729437218676892,16.042057037353516,3405900
2015-01-20,16.082583637218317,16.094161331664797,15.746806205540029,15.80469799041748,2872000
2015-01-21,15.723648608217037,15.827855587740473,15.65996631979382,15.80469799041748,2719800
2015-01-22,15.920488681499332,16.22153091430664,15.914699280382036,16.22153091430664,2424400
2015-01-23,16.227316979494105,16.267841674768967,16.111531189381534,16.1983699798584,2035500
2015-01-26,16.15784021063804,16.39520001203858,16.09994733376149,16.383621215820312,2419900
2015-01-27,16.314156460364835,16.435730551334274,16.29678825984841,16.4009952545166,2079700
2015-01-28,16.447307110567444,16.522568198335026,16.273629545929225,16.2794189453125,2650200
2015-01-29,16.29099254799747,16.400988900221513,16.169418504129904,16.377832412719727,2379800
2015-01-30,16.31415578997393,16.34889108536424,16.00153481881576,16.00732421875,3309700
2015-02-02,16.007323884458007,16.099952073041166,15.665757024976942,16.07679557800293,2971700
2015-02-03,16.036273224085697,16.250475527367307,15.984169722376055,16.244686126708984,2490200
2015-02-04,16.163632297164717,16.233103981814413,16.024690032080287,16.030479431152344,4798400
2015-02-05,16.03627449541456,16.26784501902966,15.99574868759348,16.22153091430664,3115400
2015-02-06,16.175210353722083,16.175210353722083,15.393659182265946,15.474708557128906,5948300
2015-02-09,15.486287974181462,15.549970259386695,15.318398714718557,15.353135108947754,2215700
2015-02-10,15.376286223412558,15.602068290080844,15.301026270666178,15.561542510986328,2937300
2015-02-11,15.596285524173227,15.66575610944306,15.358925666773716,15.503657341003418,4596100
2015-02-12,15.515241520772696,15.688920264971316,15.416823896991463,15.67734146118164,2198100
2015-02-13,15.659964816914751,15.67733301324018,15.434183785758744,15.532601356506348,1698600
2015-02-17,15.532604430032189,15.654179619937144,15.405240944421635,15.492079734802246,3460400
2015-02-18,15.492078835910908,15.6252317137163,15.329978960181473,15.596285820007324,1979100
2015-02-19,15.54418565517328,15.584710356726136,15.231564635967874,15.24893283843994,2604900
2015-02-20,15.277876873241404,15.62523315077084,15.191038079912836,15.573129653930664,4503100
2015-02-23,15.561550002453888,15.79312157761628,15.549972307067854,15.781542778015137,3932000
2015-02-24,15.68312528943809,15.68312528943809,15.26629843908574,15.312612533569336,4283800
2015-02-25,15.283665534382642,15.416818417996089,15.272086734707964,15.312612533569336,3056100
2015-02-26,15.266295601081518,15.266295601081518,15.052092263780848,15.15050983428955,2409800
2015-02-27,15.167880205276411,15.28366488445417,15.057883821474736,15.214194297790527,2361300
2015-03-02,15.202612910929938,15.416815138267127,15.144720029087631,15.231558799743652,2004500
2015-03-03,15.173669240180686,15.30103382896325,15.115777449877834,15.254719734191896,2274800
2015-03-04,15.219981529839274,15.266295615757604,14.942095910114386,14.988409996032717,2315400
2015-03-05,15.075254009222418,15.289456301280628,15.034728206737556,15.15630340576172,1894200
2015-03-06,14.87262941495733,14.87262941495733,14.617901320392022,14.641058921813965,3475400
2015-03-09,14.710529583564442,14.808947181618263,14.6757942854911,14.774211883544922,2056300
2015-03-10,14.727900767636893,14.913157200502756,14.716321964528916,14.820528984069824,2747400
2015-03-11,14.820525525944332,14.913153720764,14.780000828737624,14.82631492614746,2223600
2015-03-12,14.88999096602559,15.127350771119689,14.843676884646614,15.09840488433838,1765400
2015-03-13,15.10420320521141,15.18525261945014,15.005785586114904,15.075257301330566,1716100
2015-03-16,15.156297209476644,15.39365700591597,15.156297209476644,15.295239448547363,2319700
2015-03-17,15.225771664934197,15.370503338951496,15.17945757341726,15.237350463867188,1559100
2015-03-18,15.237356164762929,15.694708955794535,15.150517348705732,15.665761947631836,1985300
2015-03-19,15.578919552004246,15.735230047520991,15.492080755900009,15.62523365020752,1885700
2015-03-20,15.659961931152097,16.076789732431518,15.584701969373704,16.05942153930664,3717300
2015-03-23,16.053638314008786,16.181002904131805,15.972588923359693,16.00732421875,2779900
2015-03-24,15.966800622978,16.01890412175913,15.8104901266346,15.833647727966309,3850100
2015-03-25,15.874167997374595,15.90311388674846,15.46891892085114,15.486287117004396,2249100
2015-03-26,15.422607817833429,15.53260420631263,15.277876134545304,15.312612533569336,2559000
2015-03-27,15.312610419895318,15.463130378028664,15.306821020857118,15.353135108947754,2208300
2015-03-30,15.468927392438392,15.68892024733288,15.36472147109498,15.648395538330078,3024900
2015-03-31,15.613657197747072,15.74102181512189,15.486293684587622,15.54418659210205,3332600
2015-04-01,15.509132459370624,15.555864265364988,15.33973008045637,15.40982723236084,2674100
2015-04-02,15.421514869947831,15.608442147350011,15.409831636566585,15.54418659210205,1822300
2015-04-06,15.57923194619079,15.807049378992618,15.49745155783613,15.748634338378906,2046400
2015-04-07,15.725264224243377,15.725264224243377,15.450715065002443,15.45071506500244,1565500
2015-04-08,15.479927157895494,15.497452004837356,15.386463535887426,15.444878578186035,1063300
2015-04-09,15.39230354731533,15.39230354731533,14.98924102305467,15.047656059265137,1702800
2015-04-10,15.117757666199978,15.316368179336582,15.059343726950544,15.135282516479492,2847200
2015-04-13,15.146962972298017,15.182011552255243,15.030132886874894,15.035974502563477,1482100
2015-04-14,15.06518403157462,15.193696246574584,15.030134334068324,15.076866149902344,1326600
2015-04-15,15.100232676274628,15.106074292549415,14.889938947079704,14.895780563354492,1699200
2015-04-16,14.84320736155862,15.00092766090408,14.767268577155845,14.907464027404783,1809300
2015-04-17,14.849048015215818,14.948353258642362,14.667962376323056,14.778949737548828,1710400
2015-04-20,14.837358916305666,14.884090711547026,14.743895325822944,14.796468734741213,1425100
2015-04-21,14.878254980975374,14.960036490615916,14.7672676197496,14.778949737548828,1909400
2015-04-22,14.802310999236262,14.907457821695822,14.673798835215656,14.70300579071045,3584100
2015-04-23,14.691321488741124,14.808151530526576,14.673797762395004,14.720529556274414,2621800
2015-04-24,14.72637559884246,14.971717887603456,14.708851865900137,14.854888916015623,2420600
2015-04-27,14.889938212948923,14.965878106602691,14.732217923828944,14.778949737548828,1877000
2015-04-28,14.732216394604096,14.88993666735249,14.58617935261652,14.837363243103027,3913100
2015-04-29,14.667964322204174,14.802318165200695,14.370048552402446,14.387572288513184,2615500
2015-04-30,14.28826211121446,14.352518759289907,14.060444706836554,14.077969551086426,4323500
2015-05-01,14.101335542581342,14.276580650594324,14.066286966648402,14.165592193603516,3799000
2015-05-04,14.23569264916627,14.370046472718633,14.194801337752049,14.259057998657228,2866300
2015-05-05,14.183117648798648,14.22984945677763,13.896885185655604,13.926092147827148,3143800
2015-05-06,13.949455855510084,13.972822313840844,13.832626906378447,13.955297470092772,3307300
2015-05-07,14.002030440142816,14.200640895819236,13.850151790850605,14.148067474365234,3662300
2015-05-08,14.311626708164772,14.621225564586876,14.288260252205092,14.34083366394043,3123800
2015-05-11,14.282422612918934,14.311629574544254,14.007872271274575,14.095494270324709,3808200
2015-05-12,14.00203065611468,14.136385576443992,13.85015200447984,14.095494270324709,2395100
2015-05-13,14.153908420667095,14.270738488194509,13.943615858961495,13.996188163757324,3147700
2015-05-14,14.04876231289125,14.29410457611084,14.04876231289125,14.29410457611084,2259000
2015-05-15,14.340840468593765,14.39341390527492,14.270743295801871,14.387572288513184,5271100
2015-05-18,14.317472330248282,14.393411105027976,14.235691939843342,14.334997177124023,1648400
2015-05-19,14.29410576267084,14.381728882231164,14.253215567768954,14.30578899383545,2207200
2015-05-20,14.29410398210317,14.416775665702282,14.259055407149472,14.288262367248535,1433500
