Date,Open,High,Low,Close,Volume
2015-01-02,93.60592785693122,94.4097605388182,92.21502458167647,92.87435150146484,720600
2015-01-05,92.3595429804738,92.51308251561277,90.92347768917875,91.27571868896484,1455000
2015-01-06,91.91697042423196,92.63048612810212,91.09507712380687,91.6369857788086,2241400
2015-01-07,93.6781977028536,94.39171352505969,93.11822142839294,93.7865753173828,1781700
2015-01-08,94.92459384551314,98.66377335349208,94.83427686474312,98.56442260742188,2307000
2015-01-09,98.48313495955706,98.59151946604942,97.38124992782078,97.5438232421875,1315600
2015-01-12,98.04054059340118,98.04054059340118,95.35808534646804,95.89999389648438,1772300
2015-01-13,96.91160372075936,98.53733007779502,95.61101712253554,96.4871063232422,1070000
2015-01-14,95.41229205618129,97.84185756218452,95.07811172370836,97.03802490234376,1762800
2015-01-15,97.15545014065992,97.48963052087224,95.83680303961584,96.51419067382812,1133900
2015-01-16,96.48707823935072,97.51670669967568,95.59292176795635,97.44445037841795,1451300
2015-01-20,97.87798346753496,98.66374858277666,96.893510019297,97.95926666259766,1170900
2015-01-21,97.98637003326957,100.00047214784708,97.56187271153732,99.46759033203124,1821000
2015-01-22,100.16304857110204,101.31912231445312,99.2147031678021,101.31912231445312,1664800
2015-01-23,101.32815026857148,102.0145647076137,99.25082564271273,99.32308197021484,1229300
2015-01-26,99.11536713077246,99.12440089625336,98.03154955836388,98.81732177734376,1308600
2015-01-27,98.22120832488,98.84440716204816,97.71542775601506,98.29346466064452,820700
2015-01-28,99.4314728511811,99.52179671799408,98.03154249524624,98.1760482788086,2040500
2015-01-29,98.14894484601606,99.2237353673762,97.39930092118936,99.00697326660156,1354800
2015-01-30,98.1489608514223,98.87151049282308,96.30646546751996,96.4871063232422,1570800
2015-02-02,96.71290492206336,97.44448145859516,95.04201658181172,97.4354476928711,1431200
2015-02-03,97.44447181467967,98.5282893089998,97.25480409771085,98.1760482788086,1395700
2015-02-04,97.85089352050694,100.0998253149772,97.21866784981832,99.44049835205078,1768500
2015-02-05,100.52430524662572,102.41195505860952,100.47914332478976,101.35523223876952,2060900
2015-02-06,101.24686436130642,101.87006315296526,100.45206539816728,100.88558959960938,1355300
2015-02-09,100.68688612866649,101.20170037909656,100.03659299323012,100.27141571044922,1392000
2015-02-10,100.94882623107584,102.89970608160586,100.91270495154208,102.69197082519533,1152100
2015-02-11,102.44809343354066,104.10994758354008,102.44809343354066,103.92931365966795,1421900
2015-02-12,104.6699387785336,104.76928951812924,103.15259017195164,103.8480453491211,1080200
2015-02-13,103.6222426567636,103.6222426567636,102.62873532609788,103.38741302490234,1103200
2015-02-17,103.19774428539644,104.31768984873676,102.28552705947564,104.29962921142578,1316800
2015-02-18,104.13705326833332,104.87766341265043,103.54998265486104,104.77831268310548,1016200
2015-02-19,104.38996776243162,105.6002305440385,104.13707744333432,104.94091033935548,795600
2015-02-20,105.12151641423164,107.12658468457752,104.8324979990034,107.06336212158205,1591600
2015-02-23,107.3614391165945,109.736809550476,107.3614391165945,109.63745880126952,2298300
2015-02-24,109.61938579424198,110.18838892853316,109.01424760168588,109.06844329833984,1505100
2015-02-25,109.28518063463493,109.70967789333773,108.66198194498682,109.44775390625,1438100
2015-02-26,109.12263641408512,110.0890425385381,109.1136026491621,109.81808471679688,1523900
2015-02-27,109.80903960548488,110.56771035517008,109.80903960548488,109.85419464111328,1557300
2015-03-02,109.66454609562182,111.09157777282356,109.3032712938216,110.6219253540039,2077500
2015-03-03,110.37805245351107,110.59481455967534,108.53555732425698,109.38455200195312,2265500
2015-03-04,107.70462607640138,110.50449338451564,107.2078724241544,110.06193542480467,2901700
2015-03-05,110.06193906634924,111.09156767894342,109.8903320006692,110.64900970458984,1605300
2015-03-06,110.2064563791179,110.26967895350268,108.21945527781584,108.89684295654295,2516800
