Date,Open,High,Low,Close,Volume
2015-01-02,52.1402355195391,52.570890168925054,51.859371928376646,52.45854568481445,2266200
2015-01-05,52.17768253348702,52.371167612169096,51.5597902465561,51.703338623046875,3780400
2015-01-06,51.75326642005074,52.92040043460902,51.75326642005074,52.55215835571289,5290900
2015-01-07,52.589627688965905,52.9828311088846,52.25259414541852,52.72069549560547,2583500
2015-01-08,53.00154708185825,53.22623607986183,52.78310076762491,52.932891845703125,2165100
2015-01-09,53.051482692377654,53.294894996730264,52.564658083672434,53.00779342651367,2679100
2015-01-12,53.17629495546483,53.35729465938272,52.83302359570749,53.05771255493164,2300200
2015-01-13,53.23870869602109,54.1624256783288,53.15756811175974,53.34481048583984,3529600
2015-01-14,53.10141299834685,53.53830564345988,52.833034727270935,53.48213577270508,3383100
2015-01-15,53.606945237727345,54.26852669633087,53.276154508425584,54.14994430541992,3886000
2015-01-16,54.13122405649903,54.54315063023912,54.050083468841024,54.518184661865234,3903900
2015-01-20,54.57437774574077,54.75537750636183,54.13124237116086,54.730411529541016,3179900
2015-01-21,54.61180626861267,55.41694089815681,54.2373262636965,55.34828567504883,2834700
2015-01-22,55.441926597449466,55.72902819545158,54.886446694088555,55.31709671020508,2542200
2015-01-23,55.516816537201954,55.69157836917377,55.304612883895736,55.373268127441406,1815400
2015-01-26,55.31708187333675,55.36077113171084,54.81153406046908,55.26715469360352,1749500
2015-01-27,55.2109916643541,55.71030166072749,55.14233642080843,55.373268127441406,1907000
2015-01-28,55.5230669437363,56.1534448304311,54.7116940390009,54.83027648925781,3199800
2015-01-29,54.836517562362154,55.91003083906544,54.53069265597179,55.77272033691406,2850500
2015-01-30,55.460632171685155,55.79142293409937,54.343430037078406,54.38711929321289,3526400
2015-02-02,54.29973983764648,54.48073954185124,53.7442601213985,54.29973983764648,3610600
2015-02-03,54.23733535721423,54.37464582645189,53.86909321137028,54.16243743896485,3980100
