Ticker,Name,Sector,Industry,Date,Close,MA20,MA60,MA120,Momentum6_1M,RelativeMomentum,Return20,MA20Dist,MaxDayGain5,AvgDollar20,Volatility20,Trend,MomentumPct,LiquidityPct,VolatilityPct,AbsMomentumOK,RelativeMomentumOK,LiquidityOK,OverheatOK,ScreenOK,MomentumScore,DistanceScore,StabilityScore,LiquidityScore,BuyScore,Type,Risk,Explain,IsHeld,EntryPrice,StopPrice,R,Target1R,Target2R,CurrentStage,SellSignal,BuyAllowed,Rank,Momentum6_1M_%,RelativeMomentum_%,Return20_%,MA20Dist_%,Volatility20_%,AvgDollar20_M
HUM,Humana,Health Care,Managed Health Care,2026-09-09,400.0199890136719,390.12949829101564,385.7247304280599,318.26379890441893,1.2340068165852651,1.0860559741491407,0.07295740881684765,0.02535181463073699,0.015422397342448324,376643695.9512329,0.01556844019479357,True,0.9920159680638723,0.5409181636726547,0.469061876247505,True,True,True,True,True,45.0,19.43649198460157,14.937781641096757,2.1460068400176073,81.52028046571594,균형형,낮음,추세·모멘텀·과열도의 균형이 좋은 종목,False,400.0199890136719,385.7247304280599,14.295258585611975,414.31524759928385,428.6105061848958,미보유,-,허용,1,123.40068165852651,108.60559741491407,7.295740881684765,2.535181463073699,1.556844019479357,376.6436959512329
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2026-09-09,32.38999938964844,30.45499982833862,26.877499961853026,24.032174921035768,0.6449900114612648,0.49703916902514034,0.11420707704428801,0.06353635108246758,0.04923875964873137,468432021.1120033,0.032988990897914926,True,0.9660678642714571,0.6447105788423154,0.9101796407185628,True,True,True,True,True,45.0,24.19870667894247,0.0,2.5859775646174112,71.78468424355988,강한추세,높음,추세는 매우 강하지만 이미 많이 오른 종목,False,32.38999938964844,29.798799438476564,2.5911999511718733,34.98119934082031,37.572399291992184,미보유,-,허용,2,64.49900114612647,49.70391690251403,11.4207077044288,6.353635108246758,3.2988990897914925,468.4320211120033
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2026-09-09,58.900001525878906,54.71100006103516,50.01545022328695,41.050341844558716,1.5459657149781312,1.3980148725420067,0.08311880045941922,0.0765659823467042,0.07749997652494,1251194477.7537346,0.03858141720781744,True,0.998003992015968,0.8802395209580839,0.9421157684630739,True,True,True,True,True,45.0,18.614578994269632,0.0,4.567967826849278,68.18254682111892,강한추세,높음,추세는 매우 강하지만 이미 많이 오른 종목,False,58.900001525878906,54.1880014038086,4.712000122070307,63.612001647949214,68.32400177001952,미보유,-,허용,3,154.59657149781313,139.80148725420068,8.311880045941923,7.65659823467042,3.8581417207817434,1251.1944777537346
STT,State Street Corporation,Financials,Asset Management & Custody Banks,2026-09-09,191.88999938964844,190.89949951171874,182.69265569051106,164.30511703491212,0.5245966346906918,0.3766457922545674,0.02494390630539578,0.005188593372236205,0.020522044269920547,247465939.08439636,0.014145269980343291,True,0.9500998003992016,0.34331337325349304,0.3812375249500998,True,True,True,True,True,39.34474760180189,10.795111445244089,16.231572745142465,1.2986580557933434,67.67008984798179,강한추세,높음,추세는 매우 강하지만 이미 많이 오른 종목,False,191.88999938964844,182.69265569051106,9.197343699137377,201.08734308878581,210.2846867879232,미보유,-,허용,4,52.459663469069184,37.66457922545674,2.494390630539578,0.5188593372236205,1.4145269980343291,247.46593908439635
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,2026-09-09,399.44000244140625,369.42186584472654,314.0761459350586,278.40538024902344,0.39078250869137743,0.242831666255253,0.19057635598686495,0.08125706508476349,0.02280790757623019,877177439.8326111,0.013835158500008028,True,0.9221556886227545,0.8143712574850299,0.35728542914171657,True,True,True,True,True,29.308688151853307,16.604114963672792,16.513492272719976,3.8515100260453594,66.27780541429144,일반,보통,무난한 상승추세 종목,False,399.44000244140625,367.48480224609375,31.9552001953125,431.39520263671875,463.35040283203125,미보유,-,허용,5,39.07825086913774,24.283166625525297,19.057635598686495,8.125706508476348,1.383515850000803,877.1774398326111
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2026-09-09,260.7799987792969,244.2673812866211,209.12069447835287,190.6429478963216,0.263940901135407,0.11599005869928258,0.16849755791524523,0.06760058344957676,0.01614948018582507,663049533.5753632,0.014077590126999988,True,0.8263473053892215,0.7445109780439122,0.37325349301397204,True,True,True,True,True,19.795567585155528,22.456892807324248,16.29309988454547,3.286929964913361,61.83249024193861,일반,보통,무난한 상승추세 종목,False,260.7799987792969,239.91759887695312,20.862399902343753,281.64239868164066,302.5047985839844,미보유,-,허용,6,26.394090113540702,11.59900586992826,16.849755791524522,6.760058344957676,1.4077590126999988,663.0495335753632
BNY,BNY Mellon,Financials,Asset Management & Custody Banks,2026-09-09,162.50999450683594,162.2039993286133,155.61599985758463,143.5465897878011,0.3764118155663183,0.22846097313019387,0.01366009906791188,0.0018864835607581565,0.014132366328096113,410545044.88594055,0.011470048772929658,True,0.9181636726546906,0.5968063872255489,0.19161676646706588,True,True,True,True,True,28.230886167473876,9.37992152603921,18.663592024609404,2.319875834542499,58.594275552664996,저과열,낮음,과열은 적지만 추가 상승 힘을 확인할 종목,False,162.50999450683594,155.61599985758463,6.893994649251312,169.40398915608725,176.29798380533856,미보유,-,허용,7,37.64118155663183,22.846097313019385,1.366009906791188,0.18864835607581565,1.1470048772929657,410.54504488594057
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,2026-09-09,388.9500122070313,354.1135009765625,307.334646097819,275.4621575673421,0.3864419052009185,0.23849106276479404,0.20075943468619584,0.09837668186724846,0.032720125277489576,843261869.886322,0.015207486083915303,True,0.9201596806387226,0.8003992015968064,0.45109780439121755,True,True,True,True,True,28.983142890068887,9.267136342607806,15.265921741895179,3.7719616433754597,57.28816261794733,급등주의,높음,최근 급등하여 추격매수에 주의할 종목,False,388.9500122070313,357.83401123046883,31.116000976562475,420.0660131835938,451.18201416015626,미보유,-,허용,8,38.64419052009185,23.849106276479404,20.075943468619585,9.837668186724846,1.5207486083915303,843.2618698863221
IQV,IQVIA,Health Care,Life Sciences Tools & Services,2026-09-09,256.9800109863281,255.52850112915038,223.83083318074543,197.98066647847494,0.39647813243054775,0.2485272899944233,0.05388785615887759,0.005680422539026786,0.02948756400577457,322842505.2518463,0.0177730773126825,True,0.9241516966067864,0.45109780439121755,0.5728542914171657,True,True,True,True,True,29.73585993229108,11.005895373868622,12.933566079379549,1.8350596138393485,55.5103809993786,저과열,낮음,과열은 적지만 추가 상승 힘을 확인할 종목,False,256.9800109863281,236.42161010742188,20.55840087890624,277.53841186523437,298.0968127441406,미보유,-,허용,9,39.64781324305478,24.85272899944233,5.388785615887759,0.5680422539026786,1.77730773126825,322.8425052518463
PFG,Principal Financial Group,Financials,Life & Health Insurance,2026-09-09,114.0199966430664,112.12740325927734,111.17199783325195,103.91620807647705,0.28533168524397734,0.1373808428078529,0.016429206953067377,0.01687895491000302,0.07277994773861374,128238354.84146118,0.019264269778146652,True,0.8542914171656687,0.09381237524950099,0.6347305389221557,True,True,True,True,True,21.3998763932983,15.805266390001297,11.577936565321227,0.0,48.78307934862082,저과열,낮음,과열은 적지만 추가 상승 힘을 확인할 종목,False,114.0199966430664,111.17199783325195,2.847998809814456,116.86799545288086,119.71599426269532,미보유,-,허용,10,28.533168524397734,13.73808428078529,1.6429206953067377,1.687895491000302,1.9264269778146652,128.2383548414612
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,2026-09-09,88.02999877929688,85.97099990844727,83.03334732055664,73.13849646250407,0.3017956352757065,0.15384479283958208,0.0570365041981824,0.02394992349795033,0.052886395883321446,353732801.8966675,0.026182916529324193,True,0.8702594810379242,0.5189620758483033,0.8363273453093812,True,True,True,True,True,22.63467264567799,18.835681499121574,5.288257700614372,2.0194011923532784,48.77801303776722,저과열,낮음,과열은 적지만 추가 상승 힘을 확인할 종목,False,88.02999877929688,83.03334732055664,4.9966514587402315,93.0266502380371,98.02330169677734,미보유,-,허용,11,30.17956352757065,15.384479283958207,5.70365041981824,2.394992349795033,2.6182916529324194,353.73280189666747
